Values recorded at: 08-Apr-2013 00:01:56

   Collision	    Weather	Deformation	    Buffers	

       0.183	      0.000	      2.784	      0.000	
       0.180	      0.000	      2.780	      0.000	
       0.180	      0.000	      5.307	      0.000	
       0.106	      0.000	      3.401	      0.000	
       0.285	      0.000	      7.717	      0.000	
       0.204	      0.000	      3.477	      0.000	
       0.296	      0.000	      5.210	      0.000	
       0.151	      0.000	      2.775	      0.000	
       0.334	      0.000	      4.342	      0.001	
       0.338	      0.000	      4.527	      0.000	
       0.150	      0.000	      2.252	      0.000	
       0.387	      0.000	      4.942	      0.000	
       0.334	      0.000	      4.752	      0.000	
       0.284	      0.000	      4.047	      0.000	
       0.165	      0.000	      2.525	      0.000	
       0.109	      0.000	      1.688	      0.000	
       0.108	      0.000	      2.328	      0.000	
       0.109	      0.000	      2.469	      0.000	
       0.285	      0.000	      5.227	      0.000	
       0.108	      0.000	    102.365	      0.000	
       0.107	      0.000	     97.654	      0.000	
       0.113	      0.000	   1119.647	      0.000	
       0.127	      0.000	      1.595	      0.000	
       0.287	      0.000	      4.583	      0.000	
       0.112	      0.000	      1.832	      0.000	
       0.399	      0.000	      4.509	      0.000	
       0.109	      0.000	      1.950	      0.000	
       0.108	      0.000	      1.780	      0.000	
       0.384	      0.000	      4.954	      0.000	
       0.115	      0.000	      1.873	      0.000	
       0.112	      0.000	    107.091	      0.000	
       0.114	      0.000	     91.000	      0.000	
       0.109	      0.000	     91.845	      0.000	
       0.110	      0.000	      1.953	      0.000	
       0.109	      0.000	      2.005	      0.000	
       0.112	      0.000	      2.154	      0.000	
       0.112	      0.000	      1.930	      0.000	
       0.289	      0.000	      4.351	      0.000	
       0.109	      0.000	      1.931	      0.000	
       0.110	      0.000	      1.961	      0.000	
       0.145	      0.000	      2.230	      0.000	
       0.145	      0.000	      2.206	      0.000	
       0.344	      0.000	      4.025	      0.000	
       0.109	      0.000	      2.053	      0.000	
       0.294	      0.000	      5.542	      0.000	
       0.113	      0.000	      3.504	      0.000	
       0.116	      0.000	      3.272	      0.000	
       0.111	      0.000	      3.389	      0.000	
       0.349	      0.000	      4.395	      0.000	
       0.109	      0.000	      1.930	      0.000	
       0.110	      0.000	      2.007	      0.000	
       0.336	      0.000	      4.982	      0.000	
       0.112	      0.000	      1.886	      0.000	
       0.109	      0.000	      1.734	      0.000	
       0.297	      0.000	      4.056	      0.003	
       0.110	      0.000	      3.092	      0.000	
       0.110	      0.000	      3.140	      0.000	
       0.314	      0.000	      4.741	      0.000	
       0.315	      0.000	      5.152	      0.000	
       0.112	      0.000	      1.606	      0.000	
       0.111	      0.000	      1.515	      0.000	
       0.285	      0.000	      4.118	      0.000	
       0.110	      0.000	      1.904	      0.000	
       0.114	      0.000	      1.680	      0.000	
       0.114	      0.000	      1.813	      0.000	
       0.129	      0.000	      1.850	      0.000	
       0.288	      0.000	      3.742	      0.000	
       0.128	      0.000	      2.295	      0.000	
       0.325	      0.000	     16.888	      0.001	
       0.124	      0.000	      7.696	      0.000	
       0.126	      0.000	      1.512	      0.000	
       0.127	      0.000	      1.670	      0.000	
       0.319	      0.000	      3.472	      0.000	
       0.122	      0.000	      2.144	      0.000	
       0.323	      0.000	      1.781	      0.000	
       0.123	      0.000	      1.808	      0.000	
       0.165	      0.000	      1.996	      0.000	
       0.174	      0.000	     10.335	      0.000	
       0.125	      0.000	      8.371	      0.000	
       0.125	      0.000	      8.389	      0.000	
       0.130	      0.000	      1.949	      0.000	
       0.177	      0.000	      1.864	      0.000	
       0.125	      0.000	      1.681	      0.000	
       0.124	      0.000	      1.768	      0.000	
       0.127	      0.000	      2.026	      0.000	
       0.128	      0.000	      1.851	      0.000	
       0.129	      0.000	      1.801	      0.000	
       0.123	      0.000	      1.587	      0.000	
       0.128	      0.000	      2.094	      0.000	
       0.123	      0.000	      2.129	      0.000	
       0.127	      0.000	      3.680	      0.000	
       0.125	      0.000	      3.131	      0.000	
       0.129	      0.000	      1.625	      0.000	
       0.127	      0.000	      1.674	      0.000	
       0.124	      0.000	      1.822	      0.000	
       0.124	      0.000	      1.686	      0.000	
       0.128	      0.000	      1.770	      0.001	
       0.121	      0.000	      1.974	      0.000	
       0.121	      0.000	      1.878	      0.000	
       0.124	      0.000	      3.267	      0.000	
       0.124	      0.000	      3.304	      0.000	
       0.122	      0.000	      3.962	      0.000	
       0.121	      0.000	      2.264	      0.000	
       0.128	      0.000	      1.514	      0.000	
       0.127	      0.000	      1.643	      0.000	
       0.125	      0.000	      1.790	      0.000	
       0.124	      0.000	      1.909	      0.000	
       0.123	      0.000	      1.900	      0.000	
       0.121	      0.000	      1.667	      0.000	
       0.131	      0.000	      1.734	      0.000	
       0.125	      0.000	      1.997	      0.000	
       0.123	      0.000	      2.213	      0.000	
       0.128	      0.000	     26.722	      0.000	
       0.127	      0.000	     25.590	      0.000	
       0.123	      0.000	     26.430	      0.000	
       0.125	      0.000	      1.577	      0.000	
       0.124	      0.000	      1.887	      0.000	
       0.130	      0.000	      1.968	      0.000	
       0.127	      0.000	      1.919	      0.000	
       0.174	      0.000	      1.831	      0.000	
       0.145	      0.000	      1.729	      0.001	
       0.109	      0.000	     26.358	      0.000	
       0.118	      0.000	     24.656	      0.001	
       0.112	      0.000	     26.159	      0.000	
       0.111	      0.000	      2.041	      0.000	
       0.109	      0.000	      1.537	      0.000	
       0.110	      0.000	      1.688	      0.000	
       0.111	      0.000	      1.601	      0.000	
       0.108	      0.000	      1.935	      0.000	
       0.116	      0.000	      1.899	      0.000	
       0.111	      0.000	      1.965	      0.000	
       0.113	      0.000	      1.572	      0.000	
       0.128	      0.000	      2.478	      0.000	
       0.109	      0.000	      2.309	      0.000	
       0.109	      0.000	      3.110	      0.000	
       0.109	      0.000	      3.308	      0.000	
       0.157	      0.000	      1.654	      0.000	
       0.111	      0.000	      1.811	      0.000	
       0.109	      0.000	      1.763	      0.000	
       0.109	      0.000	      1.895	      0.000	
       0.111	      0.000	      2.030	      0.000	
       0.109	      0.000	      1.730	      0.000	
       0.112	      0.000	      1.704	      0.000	
       0.111	      0.000	      3.201	      0.000	
       0.112	      0.000	      3.072	      0.000	
       0.112	      0.000	      2.068	      0.000	
       0.124	      0.000	      2.260	      0.000	
       0.109	      0.000	      1.872	      0.000	
       0.109	      0.000	      1.615	      0.000	
       0.111	      0.000	      1.543	      0.000	
       0.112	      0.000	      1.658	      0.000	
       0.122	      0.000	      1.877	      0.000	
       0.112	      0.000	      1.767	      0.000	
       0.112	      0.000	      1.675	      0.000	
       0.125	      0.000	      2.231	      0.000	
       0.113	      0.000	      2.168	      0.000	
       0.108	      0.000	      7.674	      0.000	
       0.108	      0.000	      6.968	      0.000	
       0.107	      0.000	      7.460	      0.000	
       0.108	      0.000	      1.657	      0.000	
       0.107	      0.000	      1.525	      0.000	
       0.105	      0.000	     50.462	      0.000	
       0.109	      0.000	     48.935	      0.000	
       0.126	      0.000	      1.657	      0.000	
