Values recorded at: 15-Apr-2015 19:03:14

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.000	      0.281	      0.296	      0.001	      4.556	      0.002	      0.266	

       0.000	      0.257	      0.269	      0.000	      4.662	      0.001	      0.250	
       0.000	      0.231	      0.312	      0.000	      4.606	      0.001	      0.224	
       0.000	      0.266	      0.307	      0.000	      5.489	      0.002	      0.240	
       0.000	      0.248	      0.298	      0.000	      4.987	      0.001	      0.218	
       0.000	      0.246	      0.285	      0.001	      5.321	      0.001	      0.248	
       0.000	      0.249	      0.312	      0.001	      3.832	      0.001	      0.227	
       0.000	      0.262	      0.309	      0.000	      3.720	      0.002	      0.267	
       0.000	      0.255	      0.275	      0.001	      4.830	      0.001	      0.258	
       0.000	      0.234	      0.317	      0.001	      4.360	      0.001	      0.237	
       0.000	      0.245	      0.277	      0.000	      4.452	      0.001	      0.270	
       0.000	      0.288	      0.273	      0.000	      5.270	      0.001	      0.252	
       0.000	      0.273	      0.280	      0.001	      5.038	      0.002	      0.310	
       0.000	      0.250	      0.328	      0.001	      5.603	      0.002	      0.269	
       0.000	      0.273	      0.295	      0.001	      3.671	      0.002	      0.279	
       0.000	      0.259	      0.296	      0.001	      3.651	      0.001	      0.232	
       0.000	      0.230	      0.292	      0.001	      5.795	      0.001	      0.258	
       0.000	      0.283	      0.271	      0.001	      5.068	      0.001	      0.263	
       0.000	      0.280	      0.332	      0.000	      4.839	      0.002	      0.294	
       0.000	      0.297	      0.268	      0.000	      4.488	      0.001	      0.234	
       0.000	      0.248	      0.274	      0.001	      6.751	      0.002	      0.306	
       0.000	      0.248	      0.307	      0.000	      4.793	      0.001	      0.231	
       0.000	      0.249	      0.274	      0.001	      5.289	      0.002	      0.281	
       0.000	      0.252	      0.276	      0.001	      3.642	      0.001	      0.272	
       0.000	      0.261	      0.310	      0.000	      6.514	      0.001	      0.263	
       0.000	      0.254	      0.307	      0.001	      4.748	      0.002	      0.273	
       0.000	      0.303	      0.279	      0.001	      3.974	      0.002	      0.284	
       0.000	      0.247	      0.305	      0.001	      4.865	      0.001	      0.278	
       0.000	      0.252	      0.308	      0.001	      3.482	      0.002	      0.270	
       0.000	      0.264	      0.328	      0.000	      4.247	      0.002	      0.264	
       0.000	      0.249	      0.265	      0.000	      4.076	      0.001	      0.236	
       0.000	      0.245	      0.315	      0.001	      5.086	      0.002	      0.275	
       0.000	      0.286	      0.281	      0.000	      4.237	      0.002	      0.260	
       0.000	      0.263	      0.317	      0.000	      4.241	      0.002	      0.285	
       0.000	      0.262	      0.299	      0.000	      4.060	      0.001	      0.229	
       0.000	      0.250	      0.267	      0.000	      3.744	      0.001	      0.277	
       0.000	      0.248	      0.313	      0.001	      3.555	      0.001	      0.262	
       0.000	      0.294	      0.265	      0.001	      3.694	      0.001	      0.258	
       0.000	      0.254	      0.311	      0.001	      4.333	      0.002	      0.284	
       0.000	      0.299	      0.296	      0.000	      5.756	      0.002	      0.285	
       0.000	      0.260	      0.324	      0.000	      3.934	      0.002	      0.290	
       0.000	      0.252	      0.299	      0.001	      4.651	      0.001	      0.239	
       0.000	      0.279	      0.275	      0.001	      4.200	      0.002	      0.271	
       0.000	      0.245	      0.309	      0.001	      5.632	      0.001	      0.236	
       0.000	      0.247	      0.264	      0.001	      4.567	      0.002	      0.331	
       0.000	      0.263	      0.313	      0.000	      5.848	      0.002	      0.259	
       0.000	      0.253	      0.310	      0.000	      3.743	      0.001	      0.225	
       0.000	      0.298	      0.272	      0.001	      5.355	      0.001	      0.201	
       0.000	      0.231	      0.338	      0.000	      5.357	      0.002	      0.238	
       0.000	      0.252	      0.314	      0.001	      3.674	      0.001	      0.243	
       0.000	      0.287	      0.275	      0.000	      4.822	      0.001	      0.252	
       0.000	      0.270	      0.276	      0.001	      4.586	      0.001	      0.251	
