Values recorded at: 04-Apr-2013 21:05:00

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.547	      1.363	      0.647	      0.001	      0.027	      0.001	      0.215	
       0.955	      1.312	      0.662	      0.002	      0.029	      0.001	      0.216	
       0.895	      1.297	      0.581	      0.002	      0.029	      0.001	      0.224	
       0.649	      1.342	      0.696	      0.002	      0.030	      0.002	      0.290	
       0.580	      1.359	      0.706	      0.002	      0.031	      0.002	      0.281	
       0.553	      1.308	      0.632	      0.001	      0.028	      0.003	      0.232	
       1.012	      1.321	      0.644	      0.002	      0.031	      0.002	      0.322	
       0.600	      1.294	      0.645	      0.001	      0.027	      0.001	      0.213	
       0.560	      1.292	      0.629	      0.002	      0.030	      0.002	      0.239	
       0.813	      1.373	      0.694	      0.004	      0.042	      0.002	      0.267	
       0.558	      1.302	      0.685	      0.002	      0.029	      0.001	      0.683	
       0.612	      1.339	      0.687	      0.002	      0.029	      0.002	      0.335	
       0.589	      1.292	      0.669	      0.002	      0.031	      0.002	      0.342	
       0.614	      1.296	      0.625	      0.002	      0.028	      0.001	      0.222	
       0.553	      1.328	      0.655	      0.001	      0.029	      0.001	      0.209	
       0.569	      1.270	      0.624	      0.001	      0.037	      0.001	      0.202	
       0.555	      1.299	      0.632	      0.001	      0.029	      0.001	      0.205	
       0.614	      1.297	      0.609	      0.002	      0.028	      0.001	      0.217	
       0.571	      1.293	      0.698	      0.001	      0.028	      0.002	      0.223	
       0.643	      1.275	      0.627	      0.002	      0.029	      0.001	      0.222	
       0.601	      1.340	      0.648	      0.001	      0.029	      0.001	      0.204	
       0.618	      1.270	      0.613	      0.001	      0.029	      0.001	      0.203	
       0.569	      1.284	      0.631	      0.001	      0.028	      0.001	      0.204	
       0.876	      1.293	      0.789	      0.002	      0.031	      0.001	      0.269	
       0.589	      1.364	      0.812	      0.002	      0.044	      0.001	      0.221	
       0.675	      1.353	      0.639	      0.003	      0.059	      0.001	      0.271	
       0.575	      1.355	      0.641	      0.002	      0.031	      0.003	      0.264	
       0.635	      1.255	      0.634	      0.002	      0.028	      0.002	      0.301	
       0.651	      1.460	      0.698	      0.003	      0.065	      0.002	      0.269	
       0.557	      1.351	      0.635	      0.002	      0.029	      0.002	      0.261	
       0.780	      1.478	      0.647	      0.002	      0.071	      0.003	      0.269	
       0.614	      1.338	      0.626	      0.002	      0.062	      0.002	      0.352	
       0.588	      1.303	      0.641	      0.002	      0.031	      0.001	      0.212	
       0.745	      1.300	      0.670	      0.002	      0.032	      0.003	      0.343	
       0.559	      1.348	      0.628	      0.001	      0.027	      0.002	      0.215	
       0.582	      1.268	      0.593	      0.002	      0.028	      0.001	      0.210	
       0.539	      1.297	      0.637	      0.002	      0.028	      0.001	      0.214	
       0.722	      1.315	      0.612	      0.002	      0.031	      0.001	      0.222	
       0.552	      1.341	      0.647	      0.001	      0.027	      0.001	      0.207	
       0.593	      1.309	      0.625	      0.001	      0.027	      0.001	      0.233	
       0.582	      1.287	      0.642	      0.001	      0.029	      0.001	      0.217	
       0.608	      1.289	      0.626	      0.001	      0.028	      0.001	      0.209	
       0.582	      1.285	      0.711	      0.001	      0.029	      0.001	      0.219	
       0.702	      1.240	      0.595	      0.002	      0.029	      0.001	      0.241	
       0.837	      1.312	      0.839	      0.002	      0.032	      0.001	      0.222	
       0.830	      1.300	      0.614	      0.001	      0.030	      0.001	      0.221	
       0.586	      1.409	      0.710	      0.002	      0.032	      0.001	      0.225	
       0.594	      1.407	      0.665	      0.001	      0.030	      0.001	      0.272	
       0.955	      1.331	      0.727	      0.002	      0.035	      0.002	      0.324	
       0.639	      1.251	      0.580	      0.001	      0.031	      0.001	      0.216	
