Values recorded at: 14-Apr-2013 17:55:19

   Collision	    Weather	Deformation	    Buffers	
       0.118	      0.000	      1.793	      0.000	
       0.120	      0.000	      1.810	      0.000	
       0.119	      0.000	      1.819	      0.000	
       0.117	      0.000	      1.891	      0.000	
       0.114	      0.000	      1.785	      0.000	
       0.118	      0.000	      1.793	      0.000	
       0.117	      0.000	      1.721	      0.000	
       0.169	      0.000	      1.713	      0.000	
       0.121	      0.000	      1.780	      0.000	
       0.121	      0.000	      1.732	      0.000	
       0.121	      0.000	      1.814	      0.000	
       0.118	      0.000	      1.698	      0.000	
       0.122	      0.000	      1.593	      0.000	
       0.118	      0.000	      1.569	      0.000	
       0.118	      0.000	      1.723	      0.000	
       0.118	      0.000	      1.674	      0.000	
       0.118	      0.000	      1.724	      0.000	
       0.144	      0.000	      1.666	      0.000	
       0.118	      0.000	      1.625	      0.000	
       0.118	      0.000	      1.744	      0.000	
       0.140	      0.000	      2.828	      0.000	
       0.121	      0.000	      2.934	      0.000	
       0.124	      0.000	      2.171	      0.000	
       0.120	      0.000	      2.336	      0.000	
       0.120	      0.000	      2.340	      0.000	
       0.118	      0.000	      2.266	      0.000	
       0.122	      0.000	      2.102	      0.000	
       0.121	      0.000	      2.220	      0.000	
       0.120	      0.000	      2.113	      0.000	
       0.119	      0.000	      2.364	      0.000	
       0.122	      0.000	      2.267	      0.000	
       0.120	      0.000	      2.178	      0.000	
       0.120	      0.000	      2.382	      0.000	
       0.120	      0.000	      2.451	      0.000	
       0.118	      0.000	      2.254	      0.000	
       0.119	      0.000	      2.296	      0.000	
       0.119	      0.000	      2.204	      0.000	
       0.121	      0.000	      2.402	      0.000	
       0.121	      0.000	      2.365	      0.000	
       0.118	      0.000	      0.044	      0.000	
       0.168	      0.000	      0.079	      0.000	
       0.172	      0.000	      0.138	      0.000	
       0.165	      0.000	      0.042	      0.000	
       0.219	      0.000	      0.046	      0.000	
       0.172	      0.000	      0.036	      0.000	
       0.121	      0.000	      0.037	      0.000	
       0.124	      0.000	      0.130	      0.000	
       0.141	      0.000	      0.080	      0.000	
       0.118	      0.000	      0.035	      0.000	
       0.206	      0.000	      0.127	      0.000	
       0.122	      0.000	      0.043	      0.000	
       0.217	      0.000	      0.036	      0.000	
       0.168	      0.000	      0.079	      0.000	
       0.216	      0.000	      0.034	      0.000	
       0.211	      0.000	      0.039	      0.000	
       0.168	      0.000	      0.085	      0.000	
       0.235	      0.000	      0.047	      0.000	
       0.259	      0.000	      0.047	      0.000	
       0.170	      0.000	      0.073	      0.000	
       0.119	      0.000	      0.028	      0.000	
       0.122	      0.000	      0.029	      0.000	
       0.125	      0.000	      0.079	      0.000	
       0.119	      0.000	      0.032	      0.000	
       0.124	      0.000	      0.030	      0.000	
       0.126	      0.000	      0.125	      0.000	
       0.248	      0.000	      0.030	      0.000	
       0.207	      0.000	      0.039	      0.000	
       0.253	      0.000	      0.027	      0.000	
       0.171	      0.000	      0.030	      0.000	
       0.118	      0.000	      0.035	      0.000	
       0.168	      0.000	      0.073	      0.000	
       0.171	      0.000	      0.028	      0.000	
       0.248	      0.000	      0.073	      0.000	
       0.210	      0.000	      0.041	      0.000	
       0.118	      0.000	      0.037	      0.000	
       0.117	      0.000	      0.033	      0.000	
       0.131	      0.000	      0.071	      0.000	
       0.206	      0.000	      0.027	      0.000	
       0.118	      0.000	      0.026	      0.000	
       0.154	      0.000	      0.074	      0.000	
       0.166	      0.000	      0.024	      0.000	
       0.139	      0.000	      0.050	      0.000	
       0.169	      0.000	      0.068	      0.000	
       0.124	      0.000	      0.024	      0.000	
       0.168	      0.000	      0.066	      0.000	
       0.159	      0.000	      0.802	      0.000	
       0.122	      0.000	      1.369	      0.000	
       0.121	      0.000	      1.895	      0.000	
       0.121	      0.000	      2.899	      0.000	
       0.121	      0.000	      2.899	      0.000	
       0.122	      0.000	      2.842	      0.000	
 
