Values recorded at: 25-Nov-2012 19:44:13

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      11.669	      6.880	      0.001	      0.000	      0.016	      0.583	
      11.637	      6.771	      0.001	      0.000	      0.016	      0.588	
      11.605	      6.930	      0.001	      0.001	      0.015	      0.579	
      11.597	      6.782	      0.001	      0.001	      0.015	      0.574	
      11.711	      6.893	      0.000	      0.001	      0.015	      0.575	
      11.683	      6.843	      0.001	      0.000	      0.017	      0.585	
      11.746	      7.128	      0.001	      0.000	      0.015	      0.590	
      11.707	      6.855	      0.001	      0.000	      0.017	      0.589	
      11.720	      7.300	      0.001	      0.000	      0.015	      0.585	
      11.645	      6.777	      0.001	      0.000	      0.017	      0.566	
      11.591	      6.993	      0.001	      0.000	      0.016	      0.583	
      11.618	      6.872	      0.001	      0.000	      0.015	      0.576	
      11.647	      6.878	      0.001	      0.000	      0.018	      0.595	
      11.823	      7.219	      0.001	      0.000	      0.016	      0.591	
      11.715	      6.899	      0.001	      0.000	      0.017	      0.582	
      11.705	      6.842	      0.001	      0.000	      0.016	      0.572	
      11.781	      6.903	      0.001	      0.000	      0.017	      0.578	
      11.560	      6.778	      0.001	      0.000	      0.016	      0.572	
      11.636	      6.825	      0.000	      0.000	      0.015	      0.580	
      11.832	      6.913	      0.000	      0.000	      0.016	      0.591	
      11.739	      6.845	      0.001	      0.000	      0.015	      0.582	
      11.814	      6.845	      0.001	      0.000	      0.015	      0.585	
      11.797	      7.244	      0.001	      0.000	      0.016	      0.581	
      11.647	      6.856	      0.001	      0.000	      0.018	      0.587	
      11.403	      6.724	      0.001	      0.000	      0.015	      0.575	
      11.672	      6.803	      0.001	      0.000	      0.015	      0.579	
      11.577	      6.751	      0.001	      0.001	      0.015	      0.555	
      11.737	      6.980	      0.001	      0.000	      0.016	      0.616	
      11.668	      6.907	      0.001	      0.000	      0.016	      0.576	
      11.647	      6.787	      0.001	      0.000	      0.016	      0.594	
      11.861	      6.798	      0.001	      0.000	      0.016	      0.568	
      11.734	      7.109	      0.001	      0.000	      0.016	      0.590	
      11.837	      6.837	      0.001	      0.000	      0.020	      0.600	
      11.724	      6.744	      0.001	      0.000	      0.015	      0.551	
      11.651	      7.205	      0.001	      0.000	      0.015	      0.582	
      11.933	      7.087	      0.000	      0.000	      0.015	      0.554	
      11.625	      6.913	      0.001	      0.000	      0.015	      0.575	
      11.722	      6.896	      0.001	      0.000	      0.016	      0.657	
      11.666	      6.823	      0.000	      0.000	      0.016	      0.568	
      11.782	      7.022	      0.001	      0.000	      0.016	      0.587	
      11.968	      6.718	      0.001	      0.000	      0.015	      0.559	
      11.583	      6.976	      0.000	      0.000	      0.015	      0.575	
      11.545	      7.007	      0.001	      0.000	      0.016	      0.600	
      11.875	      6.998	      0.000	      0.000	      0.016	      0.603	
      11.713	      6.829	      0.000	      0.000	      0.015	      0.573	
      11.660	      6.861	      0.001	      0.000	      0.016	      0.570	
      11.876	      7.112	      0.000	      0.000	      0.017	      0.592	
      11.665	      6.712	      0.001	      0.000	      0.015	      0.572	
      11.674	      6.972	      0.001	      0.000	      0.015	      0.579	
      11.669	      6.890	      0.000	      0.000	      0.014	      0.575	
      11.666	      6.858	      0.001	      0.000	      0.015	      0.575	
      11.541	      6.862	      0.000	      0.000	      0.017	      0.662	
      11.663	      6.963	      0.001	      0.000	      0.020	      0.571	
      11.674	      6.894	      0.000	      0.000	      0.015	      0.613	
      11.634	      6.766	      0.001	      0.000	      0.015	      0.556	
      11.634	      6.891	      0.000	      0.000	      0.015	      0.563	
      11.811	      7.022	      0.001	      0.000	      0.015	      0.547	
      11.729	      6.819	      0.000	      0.000	      0.014	      0.550	
      11.668	      6.820	      0.001	      0.000	      0.015	      0.567	
      11.641	      6.729	      0.001	      0.000	      0.016	      0.570	
      11.647	      6.877	      0.001	      0.001	      0.017	      0.558	
      11.795	      6.629	      0.001	      0.000	      0.016	      0.554	
      11.681	      6.941	      0.000	      0.000	      0.015	      0.577	
      11.737	      7.306	      0.001	      0.000	      0.017	      0.564	
      11.748	      6.812	      0.001	      0.000	      0.018	      0.570	
      11.625	      6.826	      0.001	      0.000	      0.017	      0.567	
      11.688	      7.033	      0.001	      0.000	      0.016	      0.560	
      12.324	      6.792	      0.001	      0.000	      0.017	      0.559	
      11.669	      6.730	      0.001	      0.000	      0.016	      0.541	
      11.624	      6.923	      0.001	      0.001	      0.015	      0.558	
      11.614	      6.917	      0.001	      0.000	      0.017	      0.573	
      11.868	      7.077	      0.001	      0.000	      0.016	      0.561	
      11.694	      6.835	      0.001	      0.000	      0.015	      0.554	
      11.635	      6.930	      0.001	      0.000	      0.015	      0.563	
      11.775	      7.108	      0.001	      0.000	      0.015	      0.563	
      11.592	      6.452	      0.001	      0.000	      0.015	      0.536	
      11.746	      6.737	      0.001	      0.000	      0.016	      0.569	
      11.657	      6.851	      0.001	      0.000	      0.015	      0.551	
      11.917	      6.742	      0.001	      0.000	      0.016	      0.592	
      11.588	      6.725	      0.001	      0.000	      0.016	      0.547	
      11.536	      6.911	      0.000	      0.000	      0.016	      0.564	
      11.856	      7.300	      0.001	      0.000	      0.015	      0.565	
      12.067	      6.657	      0.001	      0.000	      0.015	      0.536	
