Values recorded at: 25-Mar-2013 21:09:20

   Collision	Deformation	    Buffers	

       0.120	      4.128	      9.015	
       0.130	      3.565	     10.966	
       0.125	      3.463	      9.690	
       0.117	      3.893	      9.453	
       0.120	      3.336	      9.198	
       0.139	      3.329	     10.158	
       0.117	      3.888	      9.475	
       0.123	      4.336	     10.131	
       0.116	      3.997	     11.411	
       0.116	      4.296	      9.794	
       0.120	      3.556	      9.575	
       0.117	      3.624	     10.789	
       0.115	      4.062	      9.230	
       0.115	      3.483	      9.752	
       0.119	      4.958	     10.407	
       0.115	      3.862	      9.521	
       0.122	      3.552	      9.706	
       0.115	      4.945	     10.755	
       0.116	      4.406	     10.552	
       0.117	      3.725	      9.699	
       0.115	      4.315	     10.238	
       0.115	      4.544	     11.533	
       0.115	      4.165	      9.378	
       0.136	      3.856	     10.520	
       0.116	      3.628	      9.537	
       0.116	      4.362	      9.640	
       0.116	      3.690	      9.605	
       0.117	      3.892	     10.844	
       0.116	      5.089	     11.062	
       0.128	      4.770	     10.340	
       0.118	      4.017	     10.394	
       0.116	      4.371	     11.144	
       0.138	      4.263	     10.995	
       0.144	      4.313	     10.990	
       0.125	      5.016	     10.208	
       0.117	      4.399	     10.150	
       0.118	      3.616	      9.548	
       0.148	      3.993	     11.345	
       0.145	      5.147	     10.427	
       0.121	      3.701	     10.245	
       0.125	      3.847	     10.063	
       0.139	      0.015	      0.000	
       0.128	      0.014	      0.000	
       0.117	      0.014	      0.000	
       0.117	      0.012	      0.000	
       0.116	      0.013	      0.000	
       0.118	      0.052	      0.000	
       0.115	      0.012	      0.000	
       0.114	      0.012	      0.000	
       0.136	      0.016	      0.000	
       0.126	      0.012	      0.000	
       0.118	      0.022	      0.000	
       0.127	      0.010	      0.000	
       0.115	      0.011	      0.000	
       0.115	      0.011	      0.000	
       0.114	      0.009	      0.000	
       0.117	      0.010	      0.000	
       0.114	      0.009	      0.000	
       0.118	      0.010	      0.000	
       0.116	      0.017	      0.000	
       0.113	      0.009	      0.000	
       0.139	      4.246	     11.915	
       0.117	      2.837	     12.829	
       0.118	      4.420	     10.047	
       0.115	      3.851	     10.116	
       0.132	      4.525	     10.448	
       0.119	      4.232	     12.110	
       0.115	      4.585	     10.118	
       0.116	      4.841	     11.191	
       0.115	      3.953	      9.942	
       0.135	      4.477	     11.352	
       0.128	      4.726	     11.548	
       0.116	      4.614	     10.755	
       0.116	      3.594	      9.747	
       0.148	      3.651	     10.792	
       0.115	      4.201	     10.340	
