Values recorded at: 25-Mar-2013 21:09:20

   Collision	Deformation	    Buffers	
       0.120	      3.725	     11.095	
       0.115	      3.684	     10.004	
       0.115	      4.119	     10.771	
       0.119	      3.827	     12.626	
       0.115	      4.207	      9.888	
       0.116	      5.442	     11.850	
       0.115	      3.925	     10.793	
       0.128	      4.759	     11.376	
       0.118	      3.897	     10.764	
       0.115	      3.946	     10.446	
       0.115	      3.795	     10.984	
       0.115	      4.721	     11.916	
       0.127	      3.841	     10.249	
       0.123	      4.682	     10.775	
       0.118	      3.905	     13.060	
       0.141	      4.206	     12.302	
       0.131	      3.876	      9.968	
       0.117	      3.840	     10.913	
       0.127	      4.495	     10.470	
       0.121	      4.294	     12.450	
       0.117	      4.264	     10.472	
       0.118	      3.884	     10.733	
       0.130	      4.798	     11.185	
       0.117	      4.768	     10.765	
       0.115	      3.896	     25.621	
       0.119	      2.877	      6.167	
       0.115	      2.921	      6.398	
       0.116	      2.928	      6.164	
       0.124	      2.983	      6.588	
       0.118	      3.285	      6.476	
       0.115	      3.102	      7.497	
       0.119	      0.014	      0.000	
       0.115	      0.016	      0.000	
       0.117	      0.013	      0.000	
       0.124	      0.014	      0.000	
       0.115	      0.014	      0.000	
       0.115	      0.013	      0.000	
       0.119	      0.013	      0.000	
       0.116	      0.014	      0.000	
       0.127	      0.012	      0.000	
       0.116	      0.021	      0.000	
       0.116	      0.012	      0.000	
       0.126	      0.015	      0.000	
       0.114	      0.014	      0.000	
       0.115	      0.015	      0.000	
       0.118	      0.015	      0.000	
       0.115	      0.021	      0.000	
       0.142	      0.023	      0.000	
       0.121	      0.013	      0.000	
       0.144	      0.024	      0.000	
       0.132	      0.012	      0.000	
       0.135	      2.412	      6.474	
       0.116	      2.768	      6.568	
       0.118	      2.986	      6.969	
       0.115	      2.839	      6.462	
       0.115	      2.857	      6.984	
       0.116	      3.191	      7.329	
       0.116	      3.220	      6.875	
       0.117	      3.550	      7.645	
       0.116	      3.242	      7.242	
       0.115	      4.249	      6.624	
       0.120	      3.068	      6.408	
       0.122	      3.452	      6.545	
       0.139	      2.926	      6.466	
       0.119	      3.186	      6.496	
       0.115	      3.705	      6.609	
       0.195	      3.054	      6.615	
       0.124	      3.547	      6.471	
       0.121	      4.131	      6.427	
       0.143	      3.156	      6.668	
       0.158	      3.956	      6.981	
       0.133	      3.274	      6.859	
       0.129	      3.072	      7.513	
       0.179	      2.948	      7.170	
       0.135	      2.972	      7.227	
       0.137	      3.051	      6.946	
       0.116	      2.942	      7.369	
       0.132	      3.275	      6.970	
       0.120	      2.931	      8.128	
       0.122	      3.123	      7.382	
       0.113	      3.320	      7.179	
       0.128	      2.989	      7.015	
       0.117	      3.157	      7.221	
       0.120	      3.128	      7.477	
       0.141	      3.140	      6.982	
       0.120	      3.296	      6.744	
       0.115	      3.266	      7.931	
       0.117	      2.997	      7.081	
       0.136	      3.023	      6.853	
       0.131	      3.070	      7.694	
       0.133	      3.031	      7.810	
       0.114	      2.942	      6.742	
       0.120	      3.496	      7.514	
       0.127	      2.981	      6.623	
       0.134	      3.197	      7.737	
       0.151	      3.034	      6.615	
       0.128	      3.093	      6.804	
       0.117	      3.082	      9.473	
       0.117	      3.028	      9.350	
       0.117	      3.621	      8.953	
       0.117	      3.129	      8.640	
       0.117	      3.572	      8.061	
       0.116	      4.316	      9.288	
       0.124	      3.640	      8.452	
       0.118	      3.053	      8.912	
       0.118	      3.161	      8.676	
       0.119	      3.170	      8.735	
       0.116	      3.069	      8.964	
       0.118	      3.078	      8.396	
       0.138	      3.403	      9.724	
       0.115	      4.460	      8.984	
       0.118	      3.608	      7.817	
       0.116	      3.232	      9.170	
       0.122	      4.375	      8.400	
       0.122	      3.206	      7.976	
       0.133	      3.153	      8.568	
       0.142	      3.243	      9.536	
       0.115	      3.276	      8.757	
       0.121	      4.023	      8.805	
       0.117	      3.324	      9.732	
       0.115	      3.725	      9.439	
       0.149	      3.920	      8.963	
       0.124	      3.286	      8.854	
       0.119	      3.353	      8.722	
       0.133	      3.412	      8.926	
       0.146	      3.283	      9.322	
       0.115	      4.100	      8.642	
       0.119	      3.408	      9.564	
       0.120	      3.277	      8.413	
       0.132	      5.137	      9.772	
       0.122	      3.300	      8.425	
       0.117	      4.074	      8.806	
       0.119	      3.479	      8.942	
       0.115	      3.452	      8.479	
       0.115	      3.508	     10.561	
       0.128	      3.890	      8.903	
       0.116	      3.602	      9.693	
       0.134	      3.528	      8.627	
       0.115	      4.137	      9.809	
       0.115	      3.326	      9.759	
       0.131	      3.616	      9.717	
       0.145	      3.391	      9.231	
       0.115	      3.822	      9.850	
       0.120	      3.824	      8.767	
       0.123	      3.443	      9.755	
       0.117	      3.322	      8.133	
       0.115	      3.604	      8.488	
       0.120	      4.093	      9.467	
       0.124	      4.029	      8.454	
       0.119	      3.543	      9.215	
       0.119	      3.684	      9.651	
       0.117	      4.065	     10.360	
       0.131	      3.586	      9.747	
       0.128	      4.703	      9.791	
       0.116	      3.566	      9.191	
       0.122	      3.581	      9.353	
       0.115	      3.446	     10.700	
       0.128	      4.317	      8.920	
       0.115	      3.401	      8.884	
       0.120	      4.162	      9.746	
       0.127	      3.424	      9.477	
       0.118	      4.125	      9.799	
       0.121	      3.377	      9.809	
       0.121	      3.814	     10.422	
 
