Values recorded at: 08-Apr-2013 15:24:51

   Collision	    Weather	Deformation	    Buffers	
       0.118	      0.000	      1.794	      0.000	
       0.121	      0.000	      1.512	      0.000	
       0.120	      0.000	      1.530	      0.000	
       0.121	      0.000	      1.562	      0.000	
       0.125	      0.000	      1.580	      0.000	
       0.119	      0.000	      1.566	      0.000	
       0.121	      0.000	      1.477	      0.000	
       0.119	      0.000	      1.487	      0.000	
       0.121	      0.000	      1.787	      0.000	
       0.117	      0.000	      1.681	      0.000	
       0.119	      0.000	      1.614	      0.000	
       0.145	      0.000	      1.986	      0.000	
       0.118	      0.000	      1.690	      0.000	
       0.138	      0.000	      1.527	      0.000	
       0.120	      0.000	      1.560	      0.000	
       0.117	      0.000	      2.070	      0.000	
       0.120	      0.000	      1.614	      0.000	
       0.119	      0.000	      2.035	      0.000	
       0.118	      0.000	      1.534	      0.000	
       0.147	      0.000	      1.552	      0.000	
       0.119	      0.000	      1.520	      0.000	
       0.117	      0.000	      1.848	      0.000	
       0.120	      0.000	      1.522	      0.000	
       0.117	      0.000	      1.711	      0.000	
       0.124	      0.000	      1.502	      0.000	
       0.119	      0.000	      1.502	      0.000	
       0.118	      0.000	      1.469	      0.000	
       0.121	      0.000	      1.563	      0.000	
       0.119	      0.000	      1.602	      0.000	
       0.121	      0.000	      1.516	      0.000	
       0.119	      0.000	      1.568	      0.000	
       0.118	      0.000	      1.655	      0.000	
       0.117	      0.000	      1.536	      0.000	
       0.120	      0.000	      1.690	      0.000	
       0.116	      0.000	      1.882	      0.000	
       0.139	      0.000	      1.558	      0.000	
       0.117	      0.000	      1.913	      0.000	
       0.119	      0.000	      1.651	      0.000	
       0.115	      0.000	      2.170	      0.000	
       0.118	      0.000	      1.574	      0.000	
       0.118	      0.000	      1.696	      0.000	
       0.119	      0.000	      1.571	      0.000	
       0.116	      0.000	      1.892	      0.000	
       0.118	      0.000	      1.539	      0.000	
       0.126	      0.000	      1.712	      0.000	
       0.118	      0.000	      1.569	      0.000	
       0.121	      0.000	      1.619	      0.000	
       0.122	      0.000	      1.574	      0.000	
       0.139	      0.000	      1.675	      0.000	
       0.139	      0.000	      1.658	      0.000	
       0.120	      0.000	      1.647	      0.000	
       0.121	      0.000	      1.594	      0.000	
       0.117	      0.000	      1.662	      0.000	
       0.119	      0.000	      1.779	      0.000	
       0.121	      0.000	      1.759	      0.001	
       0.116	      0.000	      1.867	      0.000	
       0.141	      0.000	      1.557	      0.000	
       0.118	      0.000	      1.882	      0.000	
       0.121	      0.000	      1.713	      0.000	
       0.118	      0.000	      1.996	      0.000	
       0.122	      0.000	      1.665	      0.000	
       0.117	      0.000	      2.168	      0.000	
       0.118	      0.000	      2.187	      0.000	
       0.124	      0.000	      2.418	      0.000	
       0.118	      0.000	      2.055	      0.000	
       0.117	      0.000	      1.778	      0.000	
       0.118	      0.000	      1.635	      0.000	
       0.122	      0.000	      1.627	      0.000	
       0.118	      0.000	      1.688	      0.000	
       0.120	      0.000	      1.667	      0.000	
       0.118	      0.000	      1.729	      0.000	
       0.127	      0.000	      1.675	      0.001	
       0.141	      0.000	      1.610	      0.000	
       0.122	      0.000	      1.713	      0.000	
       0.122	      0.000	      1.657	      0.000	
       0.121	      0.000	      1.702	      0.000	
       0.123	      0.000	      1.741	      0.000	
       0.117	      0.000	      1.643	      0.000	
       0.117	      0.000	      2.037	      0.000	
       0.117	      0.000	      1.722	      0.000	
       0.117	      0.000	      2.302	      0.000	
       0.116	      0.000	      1.864	      0.000	
       0.118	      0.000	      2.259	      0.000	
       0.119	      0.000	      1.849	      0.000	
       0.141	      0.000	      2.177	      0.001	
       0.120	      0.000	      1.648	      0.000	
       0.120	      0.000	      1.691	      0.000	
       0.116	      0.000	      1.737	      0.000	
       0.120	      0.000	      1.710	      0.000	
       0.117	      0.000	      1.613	      0.000	
       0.118	      0.000	      1.672	      0.000	
 
