Values recorded at: 02-Jan-2014 15:38:09

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.014	      2.724	     87.276	      0.001	      0.345	      0.019	      0.782	

       0.012	      2.576	     88.855	      0.001	      0.189	      0.017	      0.552	
       0.014	      2.638	     88.695	      0.001	      0.246	      0.016	      0.567	
       0.012	      2.511	     88.991	      0.002	      0.254	      0.021	      0.637	
       0.013	      2.632	     88.887	      0.001	      0.343	      0.027	      0.627	
       0.012	      2.714	     88.497	      0.001	      0.259	      0.022	      0.626	
       0.012	      2.629	     88.153	      0.001	      0.202	      0.020	      0.622	
       0.013	      2.730	     88.872	      0.001	      0.214	      0.019	      0.579	
       0.013	      2.735	     88.589	      0.001	      0.201	      0.020	      0.609	
       0.012	      2.577	     89.570	      0.002	      0.198	      0.021	      0.693	
       0.013	      2.591	     88.170	      0.001	      0.234	      0.017	      0.583	
       0.012	      2.606	     88.750	      0.001	      0.233	      0.017	      0.582	
       0.013	      2.701	     89.126	      0.002	      0.259	      0.021	      0.614	
       0.012	      2.582	     89.409	      0.001	      0.248	      0.021	      0.604	
       0.013	      2.632	     88.263	      0.001	      0.173	      0.018	      0.602	
       0.013	      2.628	     88.551	      0.001	      0.182	      0.019	      0.596	
       0.013	      2.634	     89.001	      0.001	      0.183	      0.019	      0.623	
       0.014	      2.641	     88.867	      0.002	      0.179	      0.021	      0.613	
       0.013	      2.629	     88.899	      0.001	      0.189	      0.019	      0.605	
       0.013	      2.648	     88.282	      0.002	      0.232	      0.019	      0.628	
       0.025	      4.276	     81.897	      0.002	      0.433	      0.017	      1.988	
       0.017	      4.275	     82.382	      0.001	      0.199	      0.021	      1.908	
       0.021	      4.191	     82.638	      0.001	      0.210	      0.028	      1.759	
       0.013	      3.154	     84.503	      0.002	      0.198	      0.019	      1.625	
       0.013	      3.206	     85.336	      0.001	      0.215	      0.018	      1.750	
       0.014	      3.186	     85.194	      0.001	      0.217	      0.021	      1.628	
       0.014	      3.212	     84.997	      0.001	      0.207	      0.017	      1.576	
       0.014	      3.176	     85.476	      0.001	      0.240	      0.016	      1.527	
       0.016	      3.206	     85.088	      0.001	      0.230	      0.017	      1.606	
       0.015	      3.152	     85.260	      0.002	      0.229	      0.020	      2.190	
       0.022	      3.191	     83.333	      0.001	      0.256	      0.020	      1.563	
       0.017	      3.124	     85.908	      0.002	      0.253	      0.018	      1.555	
       0.015	      3.081	     85.392	      0.001	      0.242	      0.017	      1.462	
       0.015	      3.078	     81.377	      0.001	      0.264	      0.018	      0.833	
       0.015	      3.081	     86.455	      0.002	      0.273	      0.021	      0.787	
       0.023	      3.180	     86.147	      0.001	      0.269	      0.018	      0.751	
       0.015	      3.117	     86.086	      0.002	      0.290	      0.019	      0.712	
       0.016	      3.153	      0.373	      0.001	      0.302	      0.015	      0.710	
       0.014	      2.999	     71.487	      0.001	      0.295	      0.020	      0.706	
       0.016	      3.221	     86.480	      0.001	      0.300	      0.019	      0.722	
       0.015	      3.072	     86.361	      0.001	      0.345	      0.019	      1.226	
       0.017	      3.180	     84.612	      0.001	      0.319	      0.017	      0.766	
       0.015	      3.083	     86.451	      0.002	      0.405	      0.018	      0.717	
       0.015	      3.148	     86.310	      0.001	      0.330	      0.017	      0.827	
       0.015	      2.801	     85.216	      0.001	      0.330	      0.017	      0.709	
       0.015	      2.675	     87.040	      0.001	      0.417	      0.018	      0.644	
       0.037	      2.707	     86.531	      0.001	      0.378	      0.017	      0.635	
       0.014	      2.677	     84.707	      0.010	      0.342	      0.019	      0.629	
       0.014	      2.667	     87.413	      0.002	      0.361	      0.019	      0.676	
       0.016	      2.838	     87.293	      0.001	      0.409	      0.016	      0.578	
