Values recorded at: 04-Mar-2013 21:47:35

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.255	      1.261	      0.651	      0.000	      0.001	      8.261	      0.509	
       0.275	      1.338	      0.673	      0.001	      0.002	      8.144	      0.471	
       0.260	      1.241	      0.614	      0.000	      0.001	      6.637	      0.615	
       0.275	      1.224	      0.622	      0.000	      0.001	      8.028	      0.394	
       0.260	      1.203	      0.616	      0.000	      0.001	      6.850	      0.324	
       0.315	      1.368	      0.625	      0.000	      0.001	      7.966	      0.405	
       0.268	      1.193	      0.665	      0.000	      0.001	      6.967	      0.427	
       0.268	      1.214	      0.612	      0.000	      0.001	      8.117	      0.371	
       0.284	      1.208	      0.625	      0.001	      0.001	      6.818	      0.327	
       0.276	      1.255	      0.621	      0.000	      0.001	      8.787	      0.340	
       0.313	      1.348	      0.631	      0.000	      0.001	      8.277	      0.380	
       0.442	      1.618	      0.949	      0.001	      0.002	      7.999	      0.583	
       0.258	      1.294	      0.868	      0.000	      0.001	      6.694	      0.331	
       0.272	      1.245	      0.765	      0.001	      0.001	      6.884	      0.372	
       0.289	      1.376	      0.620	      0.000	      0.001	      7.204	      0.407	
       0.263	      1.351	      0.612	      0.000	      0.001	      7.194	      0.340	
       0.288	      1.439	      0.792	      0.000	      0.001	      7.519	      0.338	
       0.286	      1.219	      0.636	      0.001	      0.001	      7.189	      0.361	
       0.678	      1.273	      0.664	      0.001	      0.001	      7.276	      0.365	
       0.294	      1.226	      0.790	      0.001	      0.002	      8.261	      0.378	
       0.349	      1.440	      0.936	      0.001	      0.002	      7.919	      0.335	
       0.258	      1.346	      0.702	      0.001	      0.001	      7.684	      0.431	
       0.357	      1.509	      0.970	      0.000	      0.001	      7.742	      0.329	
       0.275	      1.258	      0.800	      0.001	      0.002	      8.278	      0.609	
       0.278	      1.574	      0.732	      0.001	      0.001	      8.682	      0.432	
       0.249	      1.672	      0.659	      0.000	      0.001	      7.540	      0.381	
       0.262	      1.388	      0.641	      0.000	      0.001	      7.478	      0.332	
       0.275	      1.455	      0.717	      0.001	      0.001	      6.921	      0.334	
       0.272	      1.206	      0.617	      0.000	      0.001	      8.171	      0.332	
       0.307	      1.228	      0.684	      0.000	      0.001	      7.098	      0.364	
       0.323	      1.419	      0.778	      0.000	      0.001	      8.537	      0.408	
       0.311	      1.217	      0.730	      0.000	      0.001	      7.105	      0.407	
       0.269	      1.482	      0.618	      0.000	      0.001	      7.564	      0.414	
       0.300	      1.388	      0.950	      0.001	      0.002	      7.327	      0.368	
       0.276	      1.453	      0.760	      0.000	      0.001	     10.450	      0.352	
       0.270	      1.883	      0.801	      0.001	      0.002	      8.435	      0.728	
       0.261	      1.306	      1.046	      0.001	      0.001	      7.419	      0.380	
       0.428	      1.575	      0.816	      0.000	      0.001	      7.052	      0.338	
       0.253	      1.302	      0.613	      0.000	      0.001	      7.093	      0.461	
       0.696	      1.335	      0.637	      0.000	      0.001	      7.581	      0.345	
       0.258	      1.259	      0.619	      0.000	      0.001	      8.059	      0.336	
       0.323	      1.281	      0.991	      0.001	      0.002	      7.533	      0.351	
       0.258	      1.210	      0.609	      0.000	      0.001	      7.163	      0.335	
       0.278	      1.338	      0.727	      0.000	      0.002	      8.218	      0.454	
       0.272	      1.442	      0.775	      0.000	      0.001	      8.401	      0.340	
       0.506	      1.945	      1.238	      0.001	      0.001	      7.912	      0.416	
       0.257	      1.442	      0.615	      0.000	      0.001	      7.075	      0.436	
       0.277	      1.273	      0.648	      0.000	      0.001	      7.589	      0.359	
       0.273	      1.244	      0.628	      0.000	      0.001	      7.758	      0.338	
       0.283	      1.324	      0.619	      0.000	      0.001	      8.323	      0.339	
       0.264	      1.323	      0.614	      0.000	      0.001	      7.128	      0.532	
       0.269	      1.319	      0.617	      0.001	      0.001	      8.773	      0.343	
       0.320	      1.230	      0.647	      0.000	      0.001	      6.890	      0.345	
       0.276	      1.196	      0.617	      0.000	      0.001	      7.650	      0.531	
       0.394	      1.302	      0.996	      0.001	      0.002	      6.917	      0.340	
       0.278	      1.327	      0.859	      0.001	      0.002	      7.139	      0.600	
       0.283	      1.261	      0.665	      0.000	      0.001	      6.874	      0.380	
       0.282	      1.397	      0.622	      0.000	      0.001	      6.848	      0.325	
       0.259	      1.216	      0.611	      0.000	      0.001	      7.077	      0.340	
       0.276	      1.373	      0.619	      0.000	      0.001	      7.662	      0.464	
       0.288	      1.289	      0.618	      0.000	      0.001	      7.312	      0.340	
       0.290	      1.312	      0.863	      0.001	      0.001	      7.863	      0.332	
       0.294	      1.353	      0.879	      0.001	      0.001	      7.400	      0.333	
       0.255	      1.217	      0.611	      0.000	      0.001	      8.121	      0.337	
       0.411	      1.692	      0.725	      0.000	      0.002	      8.378	      0.336	
       0.470	      1.389	      0.664	      0.000	      0.001	      7.876	      0.329	
       0.257	      1.177	      0.617	      0.000	      0.001	      7.269	      0.551	
       0.263	      1.194	      0.613	      0.000	      0.001	      6.692	      0.369	
       0.290	      1.215	      0.665	      0.000	      0.001	      7.223	      0.396	
       0.258	      1.453	      0.725	      0.000	      0.001	      7.230	      0.436	
       0.255	      1.338	      0.738	      0.000	      0.001	      8.156	      0.412	
       0.254	      1.356	      0.707	      0.000	      0.001	      6.908	      0.383	
       0.278	      1.318	      0.727	      0.000	      0.001	      8.032	      0.356	
       0.254	      1.264	      0.663	      0.000	      0.001	      8.659	      0.387	
       0.370	      1.381	      0.955	      0.000	      0.001	      8.290	      0.402	
       0.251	      1.321	      1.053	      0.000	      0.001	      6.918	      0.389	
       0.500	      1.247	      0.615	      0.000	      0.001	      6.610	      0.423	
       0.298	      1.457	      0.740	      0.000	      0.001	      6.593	      0.386	
       0.260	      1.450	      0.771	      0.000	      0.001	      6.892	      0.405	
       0.287	      1.366	      0.764	      0.000	      0.096	      7.048	      0.438	
       0.298	      1.232	      0.691	      0.001	      0.001	      7.118	      0.330	
       0.603	      1.266	      0.699	      0.001	      0.001	      6.999	      0.329	
       0.248	      1.373	      0.795	      0.001	      0.001	      6.826	      0.380	
       0.620	      1.245	      0.682	      0.000	      0.001	      7.238	      0.331	
       0.312	      1.614	      0.806	      0.000	      0.001	      8.176	      0.333	
       0.276	      1.566	      0.917	      0.000	      0.001	      7.415	      0.333	
       0.239	      1.345	      0.706	      0.000	      0.001	      7.202	      0.393	
       0.245	      1.198	      0.641	      0.000	      0.001	      7.661	      0.645	
       0.272	      1.432	      0.752	      0.000	      0.001	      7.965	      0.594	
       0.251	      1.397	      0.737	      0.000	      0.001	      7.133	      0.440	
       0.243	      1.368	      0.719	      0.000	      0.001	      7.749	      0.365	
       0.268	      1.312	      0.730	      0.000	      0.001	      6.618	      0.389	
       0.255	      1.365	      0.705	      0.000	      0.001	      7.395	      0.326	
       0.244	      1.281	      0.789	      0.000	      0.001	      8.034	      0.346	
       0.291	      1.359	      0.799	      0.000	      0.001	      7.050	      0.381	
       0.274	      1.279	      0.752	      0.000	      0.001	      8.179	      0.416	
       0.365	      1.203	      0.846	      0.000	      0.001	      6.500	      0.396	
       0.325	      1.282	      0.626	      0.000	      0.001	      7.485	      0.413	
       0.272	      1.471	      0.797	      0.000	      0.001	      7.604	      0.362	
       0.250	      1.421	      0.714	      0.000	      0.001	      7.001	      0.408	
       0.283	      1.285	      0.731	      0.000	      0.000	      7.267	      0.342	
       0.289	      1.433	      0.732	      0.000	      0.001	      6.878	      0.415	
       0.272	      1.399	      0.707	      0.000	      0.001	      6.679	      0.376	
       0.259	      1.381	      0.721	      0.000	      0.001	      7.035	      0.378	
       0.673	      1.258	      0.687	      0.000	      0.001	      7.607	      0.329	
       0.320	      1.468	      1.006	      0.001	      0.001	      7.525	      0.430	
       0.241	      1.283	      0.758	      0.000	      0.001	      7.229	      0.441	
       0.287	      1.271	      0.807	      0.001	      0.001	      7.772	      0.326	
       0.238	      1.281	      0.710	      0.000	      0.001	      7.541	      0.346	
       0.277	      1.540	      0.763	      0.000	      0.001	      7.851	      0.597	
       0.243	      1.349	      0.853	      0.000	      0.001	      7.205	      0.429	
       0.246	      1.312	      0.707	      0.000	      0.001	      6.811	      0.408	
       0.244	      1.368	      0.851	      0.000	      0.001	      7.265	      0.384	
       0.248	      1.292	      0.713	      0.000	      0.000	      7.952	      0.391	
       0.257	      1.403	      0.727	      0.000	      0.001	      6.944	      0.383	
       0.266	      1.325	      0.845	      0.001	      0.001	      8.037	      0.392	
       0.269	      1.299	      0.617	      0.000	      0.001	      6.682	      0.380	
       0.248	      1.383	      0.719	      0.000	      0.001	      8.112	      0.355	
       0.340	      1.361	      1.072	      0.000	      0.001	      6.675	      0.380	
       0.518	      1.325	      0.897	      0.000	      0.000	      7.268	      0.397	
       0.235	      1.368	      0.747	      0.000	      0.001	      6.761	      0.628	
       0.282	      1.305	      0.768	      0.000	      0.001	      6.671	      0.376	
       0.269	      1.437	      0.731	      0.000	      0.001	      6.756	      0.452	
       0.288	      1.415	      0.736	      0.001	      0.001	      7.443	      0.395	
       0.272	      1.532	      0.730	      0.000	      0.000	      7.167	      0.337	
       0.605	      1.207	      0.647	      0.000	      0.001	      7.281	      0.329	
       0.675	      1.185	      0.633	      0.000	      0.001	      7.134	      0.324	
       0.237	      1.326	      0.703	      0.000	      0.000	      7.161	      0.387	
       0.547	      1.538	      0.916	      0.001	      0.001	      7.468	      0.403	
       0.254	      1.424	      0.715	      0.000	      0.000	      8.032	      0.339	
       0.242	      1.455	      0.723	      0.000	      0.001	      7.898	      0.502	
       0.246	      1.322	      0.711	      0.000	      0.000	      6.783	      0.400	
       0.268	      1.450	      0.741	      0.000	      0.001	      7.113	      0.399	
       0.261	      1.311	      0.834	      0.001	      0.001	      7.029	      0.434	
       0.275	      1.341	      0.751	      0.000	      0.001	      8.222	      0.413	
       0.254	      1.320	      0.736	      0.001	      0.001	      7.730	      0.381	
       0.254	      1.381	      0.726	      0.000	      0.001	      8.006	      0.381	
       0.249	      1.388	      0.738	      0.000	      0.001	      6.547	      0.384	
       0.280	      1.249	      0.643	      0.000	      0.001	      8.142	      0.635	
       0.379	      1.377	      1.038	      0.000	      0.002	      6.900	      0.406	
       0.266	      1.259	      0.834	      0.000	      0.001	      7.155	      0.430	
       0.284	      1.372	      0.780	      0.000	      0.001	      6.720	      0.379	
       0.247	      1.417	      0.727	      0.000	      0.001	      6.676	      0.357	
       0.289	      1.356	      0.836	      0.000	      0.001	      6.836	      0.387	
       0.245	      1.413	      0.712	      0.000	      0.001	      7.497	      0.340	
       0.291	      1.331	      0.741	      0.000	      0.001	      6.904	      0.334	
