Values recorded at: 28-Aug-2013 00:14:30

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.323	      1.737	      0.549	      0.001	      0.001	      0.019	      0.346	

       0.262	      2.099	      0.504	      0.000	      0.001	      0.017	      0.325	
       0.306	      2.024	      0.519	      0.000	      0.000	      0.013	      0.296	
       0.273	      2.129	      0.594	      0.001	      0.001	      0.018	      0.313	
       0.316	      2.177	      0.569	      0.000	      0.001	      0.017	      0.311	
       0.313	      1.845	      0.496	      0.001	      0.001	      0.013	      0.331	
       0.354	      1.589	      0.557	      0.001	      0.001	      0.030	      0.482	
       0.267	      1.931	      0.525	      0.000	      0.001	      0.014	      0.309	
       0.346	      2.045	      0.599	      0.001	      0.001	      0.015	      0.307	
       0.313	      1.754	      0.538	      0.001	      0.001	      0.015	      0.313	
       0.363	      2.082	      0.583	      0.000	      0.001	      0.015	      0.310	
       0.949	      1.546	      0.614	      0.000	      0.001	      0.015	      0.550	
       0.292	      1.802	      0.557	      0.001	      0.001	      0.014	      0.304	
       0.337	      1.581	      0.550	      0.000	      0.001	      0.014	      0.310	
       0.287	      1.569	      0.600	      0.001	      0.001	      0.017	      0.305	
       0.279	      1.795	      0.592	      0.001	      0.001	      0.015	      0.288	
       0.288	      1.569	      0.535	      0.001	      0.001	      0.017	      0.343	
       0.328	      1.556	      0.602	      0.000	      0.001	      0.017	      0.307	
       0.308	      1.570	      0.520	      0.001	      0.001	      0.017	      0.302	
       0.579	      1.560	      0.553	      0.001	      0.001	      0.015	      0.295	
       0.307	      1.657	      0.502	      0.001	      0.000	      0.016	      0.328	
       0.303	      1.551	      0.538	      0.000	      0.001	      0.030	      0.435	
       0.298	      1.574	      0.520	      0.000	      0.001	      0.020	      0.317	
       0.322	      1.562	      0.576	      0.000	      0.001	      0.018	      0.312	
       0.945	      1.579	      0.619	      0.000	      0.001	      0.017	      0.311	
       0.284	      1.561	      0.547	      0.001	      0.000	      0.015	      0.291	
       0.290	      1.726	      0.870	      0.000	      0.001	      0.018	      0.353	
       0.270	      1.587	      0.505	      0.001	      0.001	      0.013	      0.282	
       0.381	      1.731	      0.802	      0.001	      0.001	      0.017	      0.312	
       0.276	      1.970	      0.597	      0.002	      0.001	      0.019	      0.566	
       0.281	      1.799	      0.539	      0.000	      0.001	      0.017	      0.304	
       0.281	      2.000	      0.537	      0.001	      0.001	      0.018	      0.538	
       0.266	      1.633	      0.501	      0.000	      0.001	      0.013	      0.336	
       0.307	      1.729	      0.497	      0.000	      0.001	      0.013	      0.289	
       0.439	      1.956	      0.706	      0.002	      0.002	      0.052	      0.430	
       0.807	      1.737	      0.555	      0.000	      0.001	      0.019	      0.316	
       0.400	      2.170	      0.543	      0.001	      0.001	      0.018	      0.353	
       0.273	      1.929	      0.508	      0.000	      0.001	      0.015	      0.318	
       0.272	      1.786	      0.523	      0.001	      0.000	      0.016	      0.309	
       0.281	      1.666	      0.531	      0.001	      0.001	      0.041	      0.612	
       0.327	      1.554	      0.552	      0.001	      0.001	      0.017	      0.309	
       0.288	      1.833	      0.531	      0.000	      0.001	      0.018	      0.629	
       0.285	      1.750	      0.549	      0.001	      0.001	      0.016	      0.301	
       0.373	      2.056	      0.606	      0.001	      0.002	      0.045	      0.584	
       0.263	      1.821	      0.479	      0.001	      0.001	      0.014	      0.285	
       0.262	      1.742	      0.479	      0.001	      0.000	      0.015	      0.290	
       0.349	      1.828	      0.555	      0.000	      0.001	      0.042	      0.650	
       0.266	      1.642	      0.504	      0.001	      0.001	      0.041	      0.630	
       0.317	      1.741	      0.582	      0.001	      0.001	      0.018	      0.317	
       0.278	      1.584	      0.520	      0.001	      0.001	      0.016	      0.300	
       0.274	      1.551	      0.513	      0.000	      0.001	      0.015	      0.293	
       0.269	      1.566	      0.499	      0.001	      0.000	      0.015	      0.306	
       0.271	      1.557	      0.502	      0.000	      0.001	      0.017	      0.304	
       0.259	      1.993	      0.500	      0.000	      0.001	      0.014	      0.285	
       0.257	      2.041	      0.517	      0.000	      0.001	      0.018	      0.308	
       0.269	      1.784	      0.507	      0.000	      0.001	      0.016	      0.295	
       0.260	      1.740	      0.523	      0.001	      0.000	      0.015	      0.314	
       0.265	      1.563	      0.498	      0.000	      0.001	      0.016	      0.302	
       0.263	      1.874	      0.491	      0.000	      0.001	      0.020	      0.325	
       0.264	      1.585	      0.499	      0.000	      0.001	      0.017	      0.303	
       0.303	      1.759	      0.494	      0.000	      0.001	      0.017	      0.304	
       0.338	      1.778	      0.587	      0.001	      0.001	      0.017	      0.307	
       0.276	      1.561	      0.507	      0.000	      0.001	      0.017	      0.303	
       0.301	      1.547	      0.553	      0.001	      0.001	      0.020	      0.319	
       0.315	      1.559	      0.583	      0.001	      0.001	      0.017	      0.306	
       0.591	      2.087	      0.742	      0.001	      0.001	      0.017	      0.316	
       0.316	      1.931	      0.573	      0.001	      0.001	      0.017	      0.307	
       0.287	      1.770	      0.528	      0.001	      0.001	      0.017	      0.330	
       0.296	      1.714	      0.517	      0.001	      0.001	      0.014	      0.304	
       0.279	      1.563	      0.520	      0.001	      0.001	      0.017	      0.307	
       0.541	      1.943	      0.834	      0.000	      0.001	      0.036	      0.337	
       0.696	      1.568	      0.629	      0.001	      0.001	      0.017	      0.303	
       0.298	      1.659	      0.671	      0.001	      0.002	      0.018	      0.312	
       0.304	      1.618	      0.492	      0.000	      0.001	      0.017	      0.301	
       0.275	      1.569	      0.492	      0.000	      0.001	      0.018	      0.307	
       0.301	      1.935	      0.541	      0.001	      0.001	      0.040	      0.493	
       0.269	      1.982	      0.654	      0.001	      0.001	      0.019	      0.327	
       0.319	      1.571	      0.542	      0.000	      0.001	      0.058	      0.451	
       0.266	      1.676	      0.498	      0.000	      0.001	      0.030	      0.430	
       0.433	      1.584	      0.556	      0.000	      0.001	      0.092	      0.309	
       0.264	      1.558	      0.519	      0.000	      0.000	      0.015	      0.290	
       0.324	      1.556	      0.564	      0.001	      0.001	      0.016	      0.304	
       0.299	      1.781	      0.705	      0.001	      0.002	      0.031	      0.321	
       0.532	      1.876	      0.532	      0.001	      0.001	      0.019	      0.319	
       0.477	      1.997	      0.594	      0.000	      0.001	      0.014	      0.311	
       0.314	      1.977	      0.880	      0.001	      0.002	      0.017	      0.319	
       0.270	      1.803	      0.504	      0.000	      0.001	      0.013	      0.297	
       0.284	      1.691	      0.543	      0.001	      0.001	      0.016	      0.501	
       0.267	      1.574	      0.499	      0.001	      0.000	      0.014	      0.294	
       0.318	      2.027	      0.541	      0.000	      0.001	      0.044	      0.647	
       0.322	      1.606	      0.480	      0.001	      0.000	      0.024	      0.295	
       0.271	      1.586	      0.500	      0.001	      0.000	      0.016	      0.312	
       0.258	      1.752	      0.502	      0.001	      0.001	      0.041	      0.484	
       0.266	      1.765	      0.492	      0.000	      0.001	      0.015	      0.290	
       0.306	      2.002	      0.542	      0.000	      0.001	      0.018	      0.314	
       0.281	      1.658	      0.528	      0.000	      0.001	      0.019	      0.318	
       0.264	      1.560	      0.493	      0.001	      0.001	      0.019	      0.365	
       0.288	      1.573	      0.516	      0.002	      0.001	      0.018	      0.315	
       0.263	      1.554	      0.490	      0.001	      0.001	      0.016	      0.298	
       0.356	      1.899	      0.646	      0.002	      0.001	      0.018	      0.323	
       0.265	      1.836	      0.493	      0.001	      0.001	      0.015	      0.296	
       0.264	      1.750	      0.505	      0.001	      0.001	      0.025	      0.328	
       0.276	      1.889	      0.701	      0.003	      0.001	      0.017	      0.304	
       0.267	      1.953	      0.498	      0.001	      0.001	      0.017	      0.301	
       0.257	      1.601	      0.561	      0.001	      0.001	      0.019	      0.320	
       0.274	      1.744	      0.517	      0.001	      0.001	      0.016	      0.295	
       0.278	      1.601	      0.481	      0.001	      0.000	      0.091	      0.339	
       0.271	      1.571	      0.494	      0.001	      0.001	      0.017	      0.306	
       0.258	      2.023	      0.480	      0.001	      0.001	      0.015	      0.291	
       0.310	      1.914	      0.561	      0.002	      0.001	      0.018	      0.313	
       0.266	      1.547	      0.496	      0.001	      0.001	      0.016	      0.301	
       0.258	      1.871	      0.520	      0.001	      0.001	      0.015	      0.300	
       0.257	      1.738	      0.500	      0.001	      0.000	      0.016	      0.359	
       0.271	      1.607	      0.480	      0.001	      0.000	      0.016	      0.292	
       0.318	      1.790	      0.523	      0.001	      0.001	      0.018	      0.308	
       0.331	      1.755	      0.512	      0.001	      0.000	      0.017	      0.359	
       0.272	      1.686	      0.491	      0.001	      0.001	      0.017	      0.294	
       0.277	      1.568	      0.506	      0.001	      0.001	      0.016	      0.305	
       0.272	      1.692	      0.533	      0.001	      0.001	      0.017	      0.336	
       0.310	      1.621	      0.539	      0.002	      0.001	      0.018	      0.309	
       0.280	      1.594	      0.507	      0.001	      0.001	      0.018	      0.313	
       0.287	      1.545	      0.508	      0.001	      0.001	      0.017	      0.303	
       0.312	      1.858	      0.535	      0.002	      0.001	      0.017	      0.299	
       0.284	      1.551	      0.518	      0.001	      0.001	      0.018	      0.305	
       0.279	      1.869	      0.520	      0.001	      0.001	      0.015	      0.297	
       0.330	      1.873	      0.557	      0.002	      0.001	      0.018	      0.310	
       0.274	      1.740	      0.508	      0.001	      0.001	      0.021	      0.367	
       0.288	      1.655	      0.534	      0.001	      0.001	      0.017	      0.305	
