Values recorded at: 19-Nov-2012 17:13:22

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.386	      1.816	     16.230	      0.002	      0.005	      0.521	
       0.448	      1.668	     15.593	      5.042	      0.005	      0.434	
       0.398	      1.736	     17.058	      4.918	      0.006	      0.523	
       0.375	      1.739	     16.404	      4.958	      0.012	      0.674	
       0.447	      1.878	     16.435	      4.750	      0.005	      0.466	
       0.405	      1.801	     16.164	      5.102	      0.006	      0.479	
       0.444	      1.867	     16.360	      4.928	      0.006	      0.488	
       0.437	      1.692	     16.045	      4.751	      0.004	      0.464	
       0.438	      1.750	     16.539	      4.823	      0.006	      0.483	
       0.430	      1.901	     17.122	      4.875	      0.005	      0.494	
       0.423	      1.639	     18.064	      4.833	      0.006	      0.680	
       0.482	      2.023	     16.674	      4.826	      0.005	      0.490	
       0.446	      1.718	     16.392	      4.830	      0.006	      0.492	
       0.467	      2.129	     15.640	      9.879	      0.006	      0.533	
       0.421	      1.830	     16.015	      9.672	      0.006	      0.508	
       0.403	      1.603	     16.489	      6.199	      0.006	      0.917	
       0.379	      1.682	     16.000	      5.827	      0.004	      0.468	
       0.614	      1.908	     16.226	      6.080	      0.006	      0.487	
       0.375	      2.018	     16.571	      5.880	      0.005	      0.493	
       0.402	      1.796	     16.516	      5.790	      0.005	      0.638	
       0.386	      1.723	     16.574	      5.788	      0.006	      0.487	
       0.414	      1.641	     16.660	      5.794	      0.006	      0.480	
       0.381	      1.591	     16.132	      6.184	      0.006	      0.498	
       0.465	      1.754	     15.970	      6.036	      0.006	      0.667	
       0.443	      1.758	     16.905	      5.802	      0.006	      0.503	
       0.560	      1.893	     16.581	      5.903	      0.004	      0.501	
       0.377	      1.935	     17.053	      6.055	      0.006	      0.515	
       0.366	      1.558	     16.333	      5.764	      0.005	      0.504	
       0.423	      1.834	     16.987	      5.845	      0.005	      0.435	
       0.382	      1.587	     17.025	      5.815	      0.006	      0.438	
       0.407	      1.802	     16.469	      6.408	      0.006	      0.450	
       0.484	      1.858	     16.958	      6.083	      0.007	      0.702	
       0.420	      1.698	     16.421	      5.930	      0.007	      0.626	
       0.535	      1.880	     15.755	      8.471	      0.013	      0.502	
       0.445	      1.876	     15.957	      8.331	      0.007	      0.493	
       0.558	      1.742	     15.945	      8.266	      0.007	      0.523	
       0.833	      2.023	     16.028	      8.082	      0.004	      0.485	
