Values recorded at: 03-Apr-2015 03:27:19

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       6.921	      2.633	      0.253	      0.000	      0.180	      0.035	      0.281	

       6.865	      2.615	      0.261	      0.000	      0.165	      0.033	      0.254	
       7.014	      2.603	      0.248	      0.001	      0.170	      0.036	      0.304	
       6.977	      2.615	      0.257	      0.001	      0.166	      0.032	      0.249	
       6.878	      2.580	      0.242	      0.001	      0.194	      0.032	      0.247	
       7.061	      2.841	      0.280	      0.001	      0.192	      0.039	      0.316	
       6.951	      2.652	      0.245	      0.001	      0.172	      0.034	      0.284	
       6.939	      2.671	      0.262	      0.000	      0.164	      0.035	      0.295	
       6.893	      2.637	      0.243	      0.001	      0.166	      0.032	      0.248	
       6.954	      2.624	      0.252	      0.001	      0.176	      0.034	      0.286	
       6.855	      2.598	      0.241	      0.001	      0.173	      0.033	      0.258	
       6.864	      2.616	      0.241	      0.000	      0.167	      0.032	      0.240	
       6.945	      2.637	      0.256	      0.001	      0.179	      0.035	      0.294	
       6.975	      2.591	      0.243	      0.000	      0.173	      0.032	      0.253	
       6.903	      2.597	      0.244	      0.001	      0.162	      0.035	      0.279	
       6.957	      2.637	      0.290	      0.000	      0.171	      0.035	      0.296	
       6.922	      2.642	      0.246	      0.001	      0.181	      0.034	      0.286	
       6.980	      2.669	      0.272	      0.001	      0.179	      0.036	      0.314	
       6.909	      2.623	      0.246	      0.000	      0.179	      0.033	      0.267	
       6.882	      2.594	      0.244	      0.000	      0.167	      0.033	      0.244	
       6.857	      2.592	      0.244	      0.000	      0.190	      0.033	      0.305	
       6.908	      2.608	      0.240	      0.000	      0.193	      0.033	      0.263	
       6.916	      2.580	      0.242	      0.000	      0.208	      0.033	      0.255	
       6.857	      2.618	      0.242	      0.000	      0.183	      0.035	      0.303	
       6.874	      2.628	      0.242	      0.000	      0.188	      0.032	      0.247	
       6.934	      2.642	      0.256	      0.001	      0.193	      0.035	      0.299	
       6.896	      2.589	      0.250	      0.001	      0.187	      0.035	      0.279	
       6.904	      2.585	      0.241	      0.001	      0.176	      0.032	      0.244	
       6.896	      2.695	      0.250	      0.000	      0.187	      0.037	      0.324	
       6.833	      2.599	      0.242	      0.000	      0.172	      0.033	      0.254	
       6.911	      2.635	      0.275	      0.000	      0.195	      0.035	      0.288	
       7.067	      2.699	      0.250	      0.000	      0.175	      0.035	      0.290	
       6.917	      2.580	      0.240	      0.001	      0.181	      0.033	      0.246	
       6.999	      2.646	      0.255	      0.001	      0.188	      0.035	      0.291	
       6.857	      2.565	      0.244	      0.001	      0.168	      0.032	      0.255	
       6.946	      2.641	      0.257	      0.000	      0.173	      0.036	      0.293	
       6.926	      2.594	      0.242	      0.000	      0.186	      0.034	      0.277	
       6.907	      2.593	      0.243	      0.000	      0.179	      0.032	      0.264	
       6.957	      2.690	      0.267	      0.001	      0.181	      0.037	      0.302	
       7.078	      2.634	      0.242	      0.001	      0.174	      0.034	      0.258	
       6.840	      2.593	      0.272	      0.000	      0.175	      0.033	      0.255	
       6.948	      2.588	      0.242	      0.000	      0.188	      0.034	      0.295	
       6.940	      2.592	      0.261	      0.001	      0.187	      0.034	      0.266	
       7.023	      2.644	      0.258	      0.001	      0.192	      0.035	      0.289	
       6.961	      2.717	      0.278	      0.001	      0.186	      0.037	      0.307	
       6.933	      2.631	      0.241	      0.000	      0.187	      0.033	      0.262	
       6.958	      2.618	      0.264	      0.000	      0.192	      0.036	      0.299	
       6.885	      2.593	      0.283	      0.001	      0.169	      0.033	      0.251	
       6.857	      2.627	      0.243	      0.001	      0.184	      0.032	      0.263	
       6.907	      2.584	      0.240	      0.000	      0.183	      0.034	      0.272	
       6.901	      2.630	      0.242	      0.000	      0.179	      0.032	      0.249	
       6.962	      2.598	      0.243	      0.000	      0.177	      0.034	      0.288	
       6.886	      2.620	      0.249	      0.001	      0.182	      0.036	      0.253	
       6.870	      2.588	      0.242	      0.001	      0.165	      0.032	      0.243	
       6.871	      2.715	      0.249	      0.001	      0.180	      0.035	      0.312	
       6.831	      2.588	      0.243	      0.001	      0.177	      0.033	      0.321	
       6.906	      2.654	      0.270	      0.001	      0.175	      0.036	      0.303	
       6.954	      2.577	      0.241	      0.001	      0.168	      0.034	      0.265	
       6.963	      2.589	      0.290	      0.000	      0.169	      0.032	      0.249	
       6.972	      2.657	      0.269	      0.001	      0.161	      0.035	      0.311	
       7.037	      2.595	      0.239	      0.001	      0.183	      0.033	      0.257	
       6.926	      2.653	      0.257	      0.001	      0.187	      0.035	      0.288	
       6.882	      2.684	      0.249	      0.001	      0.174	      0.036	      0.289	
       6.871	      2.587	      0.244	      0.001	      0.174	      0.033	      0.257	
       6.965	      2.630	      0.246	      0.000	      0.193	      0.034	      0.290	
       6.911	      2.596	      0.288	      0.001	      0.172	      0.034	      0.260	
       7.092	      2.718	      0.286	      0.001	      0.186	      0.037	      0.317	
       6.952	      2.585	      0.260	      0.001	      0.182	      0.033	      0.256	
       6.934	      2.598	      0.243	      0.001	      0.184	      0.032	      0.242	
       6.897	      2.705	      0.267	      0.001	      0.184	      0.126	      0.296	
       6.901	      2.599	      0.240	      0.001	      0.187	      0.032	      0.253	
       6.895	      2.578	      0.243	      0.001	      0.186	      0.034	      0.285	
       6.881	      2.611	      0.244	      0.001	      0.216	      0.034	      0.301	
       6.878	      2.602	      0.250	      0.000	      0.170	      0.032	      0.251	
       7.006	      2.633	      0.241	      0.001	      0.183	      0.033	      0.289	
       6.942	      2.600	      0.257	      0.001	      0.190	      0.032	      0.254	
       6.860	      2.558	      0.246	      0.001	      0.169	      0.033	      0.264	
       6.997	      2.595	      0.244	      0.000	      0.170	      0.034	      0.301	
       6.832	      2.615	      0.244	      0.000	      0.163	      0.032	      0.245	
       6.931	      2.592	      0.251	      0.001	      0.172	      0.034	      0.291	
       6.938	      2.571	      0.243	      0.001	      0.178	      0.033	      0.253	
       6.833	      2.738	      0.249	      0.001	      0.176	      0.035	      0.283	
       6.882	      2.607	      0.244	      0.001	      0.185	      0.034	      0.287	
       7.027	      2.638	      0.295	      0.000	      0.179	      0.035	      0.304	
