Values recorded at: 25-Mar-2013 21:12:41

   Collision	Deformation	    Buffers	

       0.114	      2.798	      0.000	
       0.115	      3.387	      0.000	
       0.114	      2.739	      0.000	
       0.114	      2.752	      0.000	
       0.115	      2.836	      0.000	
       0.116	      2.859	      0.000	
       0.112	      2.866	      0.000	
       0.146	      3.055	      0.000	
       0.155	      2.831	      0.000	
       0.112	      2.895	      0.000	
       0.153	      2.994	      0.000	
       0.113	      2.856	      0.000	
       0.113	      3.659	      0.000	
       0.119	      2.996	      0.000	
       0.114	      2.863	      0.000	
       0.139	      2.855	      0.000	
       0.118	      3.035	      0.000	
       0.139	      3.873	      0.000	
       0.109	      2.932	      0.000	
       0.113	      3.000	      0.000	
       0.180	      3.286	      0.000	
       0.216	      3.127	      0.000	
       0.118	      2.867	      0.000	
       0.213	      4.123	      0.000	
       0.113	      2.839	      0.000	
       0.114	      3.083	      0.000	
       0.118	      2.905	      0.000	
       0.114	      2.966	      0.000	
       0.170	      2.991	      0.000	
       0.119	      2.999	      0.000	
       0.119	      3.179	      0.000	
       0.121	      2.988	      0.000	
       0.116	      2.869	      0.000	
       0.189	      3.170	      0.000	
       0.122	      2.895	      0.000	
       0.123	      2.866	      0.000	
       0.166	      3.188	      0.000	
       0.122	      2.928	      0.000	
       0.123	      3.150	      0.000	
       0.124	      3.690	      0.000	
       0.120	      2.962	      0.000	
       0.150	      2.993	      0.000	
       0.127	      3.047	      0.000	
       0.132	      3.288	      0.000	
       0.136	      3.134	      0.000	
       0.135	      3.003	      0.000	
       0.127	      3.019	      0.000	
       0.121	      2.967	      0.000	
       0.142	      3.477	      0.000	
       0.118	      2.928	      0.000	
       0.114	      2.980	      0.000	
       0.115	      3.174	      0.000	
       0.120	      3.098	      0.000	
       0.114	      3.088	      0.000	
       0.122	      3.069	      0.000	
       0.119	      2.946	      0.000	
       0.114	      3.673	      0.000	
       0.112	      3.098	      0.000	
       0.117	      3.213	      0.000	
       0.117	      3.592	      0.000	
       0.112	      3.273	      0.000	
       0.113	      3.885	      0.000	
       0.109	      3.206	      0.000	
       0.114	      3.202	      0.000	
       0.114	      3.014	      0.000	
       0.112	      3.088	      0.000	
       0.116	      3.332	      0.000	
       0.124	      3.119	      0.000	
       0.114	      3.210	      0.000	
       0.115	      3.823	      0.000	
       0.118	      3.211	      0.000	
       0.114	      3.170	      0.000	
       0.118	      3.077	      0.000	
       0.113	      3.149	      0.000	
       0.114	      3.066	      0.000	
       0.154	      3.389	      0.000	
       0.128	      3.158	      0.000	
       0.117	      3.685	      0.000	
       0.114	      3.193	      0.000	
       0.119	      3.456	      0.000	
       0.113	      3.518	      0.000	
       0.114	      3.210	      0.000	
       0.112	      3.427	      0.000	
       0.121	      3.099	      0.000	
       0.114	      3.426	      0.000	
       0.113	      3.195	      0.000	
       0.118	      3.151	      0.000	
       0.114	      3.376	      0.000	
       0.114	      3.479	      0.000	
       0.124	      3.113	      0.000	
       0.117	      3.244	      0.000	
       0.131	      3.122	      0.000	
       0.121	      3.157	      0.000	
       0.116	      3.294	      0.000	
       0.117	      3.138	      0.000	
       0.114	      3.125	      0.000	
       0.115	      3.103	      0.000	
       0.114	      3.822	      0.000	
       0.114	      3.501	      0.000	
       0.121	      3.176	      0.000	
       0.113	      3.373	      0.000	
       0.118	      3.068	      0.000	
       0.115	      3.108	      0.000	
       0.115	      3.566	      0.000	
       0.115	      3.408	      0.000	
       0.116	      3.225	      0.000	
       0.128	      3.177	      0.000	
       0.120	      3.602	      0.000	
       0.128	      3.081	      0.000	
       0.120	      3.537	      0.000	
       0.134	      3.285	      0.000	
       0.120	      3.245	      0.000	
       0.119	      3.274	      0.000	
       0.142	      3.362	      0.000	
       0.116	      3.747	      0.000	
       0.122	      3.728	      0.000	
       0.121	      3.699	      0.000	
       0.114	      3.530	      0.000	
       0.115	      3.270	      0.000	
       0.112	      3.212	      0.000	
       0.130	      3.366	      0.000	
       0.113	      3.326	      0.000	
       0.112	      3.219	      0.000	
       0.142	      4.035	      0.000	
       0.118	      3.454	      0.000	
       0.121	      3.285	      0.000	
       0.113	      3.189	      0.000	
       0.114	      3.754	      0.000	
       0.129	      3.840	      0.000	
       0.114	      3.183	      0.000	
       0.121	      3.247	      0.000	
       0.112	      3.554	      0.000	
       0.112	      4.347	      0.000	
       0.135	      3.231	      0.000	
       0.116	      3.341	      0.000	
       0.113	      3.707	      0.000	
       0.127	      3.564	      0.000	
       0.121	      3.269	      0.000	
       0.122	      3.664	      0.000	
       0.144	      3.866	      0.000	
       0.113	      3.308	      0.000	
       0.119	      4.122	      0.000	
       0.125	      3.348	      0.000	
       0.180	      3.281	      0.000	
       0.111	      3.439	      0.000	
       0.113	      3.361	      0.000	
       0.122	      3.348	      0.000	
       0.125	      3.263	      0.000	
       0.112	      4.266	      0.000	
       0.124	      3.288	      0.000	
       0.118	      3.783	      0.000	
       0.112	      3.218	      0.000	
       0.111	      3.300	      0.000	
       0.112	      3.690	      0.000	
       0.122	      3.585	      0.000	
       0.118	      3.211	      0.000	
       0.137	      3.448	      0.000	
       0.112	      3.900	      0.000	
       0.112	      3.408	      0.000	
       0.117	      3.585	      0.000	
       0.112	      3.827	      0.000	
       0.129	      3.307	      0.000	
       0.127	      4.243	      0.000	
       0.119	      3.284	      0.000	
       0.130	      3.228	      0.000	
       0.130	      7.190	      0.000	
       0.112	      3.514	      0.000	
       0.119	      3.726	      0.000	
       0.119	      3.653	      0.000	
       0.112	      3.351	      0.000	
       0.112	      3.365	      0.000	
       0.130	      4.040	      0.000	
       0.112	      3.681	      0.000	
       0.112	      3.482	      0.000	
       0.112	      4.185	      0.000	
       0.111	      3.267	      0.000	
       0.112	      3.483	      0.000	
       0.111	      3.266	      0.000	
       0.116	      3.523	      0.000	
       0.119	      3.694	      0.000	
       0.112	      3.557	      0.000	
       0.130	      3.944	      0.000	
       0.114	      3.515	      0.000	
       0.120	      3.413	      0.000	
       0.113	      3.394	      0.000	
       0.129	      3.406	      0.000	
       0.130	      4.068	      0.000	
       0.120	      3.459	      0.000	
       0.114	      3.572	      0.000	
       0.120	      3.476	      0.000	
       0.112	      3.947	      0.000	
       0.111	      4.418	      0.000	
       0.112	      3.527	      0.000	
       0.112	      3.548	      0.000	
       0.115	      3.521	      0.000	
       0.111	      3.549	      0.000	
       0.113	      4.998	      0.000	
       0.117	      3.566	      0.000	
       0.226	      4.765	      0.000	
       0.113	      3.637	      0.000	
       0.121	      3.476	      0.000	
       0.123	      3.534	      0.000	
       0.115	      3.541	      0.000	
       0.120	      4.774	      0.000	
       0.191	      4.366	      0.000	
       0.119	      3.707	      0.000	
       0.130	      3.633	      0.000	
       0.115	      3.955	      0.000	
       0.160	      4.168	      0.000	
       0.167	      3.722	      0.000	
       0.110	      3.438	      0.000	
       0.116	      4.775	      0.000	
       0.114	      4.214	      0.000	
       0.160	      3.483	      0.000	
       0.112	      3.591	      0.000	
       0.112	      4.506	      0.000	
       0.113	      4.219	      0.000	
       0.124	      3.650	      0.000	
       0.117	      4.308	      0.000	
       0.115	      4.064	      0.000	
       0.114	      4.241	      0.000	
       0.118	      6.019	      0.000	
       0.162	      4.186	      0.000	
       0.165	      4.280	      0.000	
       0.227	      6.024	      0.000	
       0.114	      4.054	      0.000	
       0.114	      4.299	      0.000	
       0.116	      5.081	      0.000	
       0.206	      3.996	      0.000	
       0.116	      4.361	      0.000	
       0.116	      4.773	      0.000	
       0.140	      4.795	      0.000	
       0.119	      4.097	      0.000	
       0.112	      4.338	      0.000	
       0.129	      5.787	      0.001	
       0.118	      4.235	      0.000	
       0.113	      4.352	      0.000	
       0.112	     13.109	      0.000	
       0.115	      4.784	      0.000	
       0.169	      2.886	      0.000	
 
