Values recorded at: 01-Apr-2013 21:14:33

   Collision	Deformation	    Buffers	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
       0.000	      0.000	      0.000	
 
