Values recorded at: 13-Apr-2013 01:05:39

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       1.145	      1.198	      0.532	      0.002	      0.001	      0.002	      0.228	

       1.010	      1.135	      0.117	      0.002	      0.001	      0.001	      0.192	
       1.101	      1.209	      0.175	      0.002	      0.001	      0.001	      0.199	
       0.978	      1.332	      0.109	      0.001	      0.001	      0.001	      0.185	
       1.041	      1.226	      0.166	      0.002	      0.001	      0.001	      0.187	
       1.024	      1.274	      0.122	      0.001	      0.001	      0.002	      0.191	
       0.983	      1.341	      0.109	      0.002	      0.001	      0.002	      0.183	
       0.972	      1.326	      0.112	      0.001	      0.001	      0.002	      0.189	
       0.998	      1.245	      0.152	      0.001	      0.001	      0.002	      0.185	
       1.059	      1.256	      0.118	      0.002	      0.001	      0.002	      0.186	
       0.991	      1.264	      0.113	      0.002	      0.001	      0.001	      0.196	
       0.967	      1.286	      0.110	      0.001	      0.001	      0.002	      0.213	
       1.016	      1.277	      0.157	      0.001	      0.000	      0.001	      0.195	
       1.815	      1.415	      0.298	      0.003	      0.002	      0.002	      0.246	
       1.297	      1.347	      0.271	      0.002	      0.001	      0.005	      0.254	
       1.066	      1.135	      0.118	      0.002	      0.001	      0.002	      0.195	
       1.013	      1.277	      0.160	      0.002	      0.000	      0.002	      0.207	
       1.088	      1.343	      0.180	      0.002	      0.001	      0.002	      0.239	
       0.974	      1.345	      0.106	      0.002	      0.001	      0.001	      0.184	
       1.041	      1.244	      0.161	      0.002	      0.000	      0.001	      0.186	
       1.336	      1.228	      0.117	      0.002	      0.001	      0.001	      0.195	
       1.054	      1.076	      0.115	      0.002	      0.001	      0.003	      0.213	
       1.881	      1.321	      0.136	      0.003	      0.001	      0.001	      0.207	
       1.763	      1.269	      0.283	      0.003	      0.001	      0.004	      0.312	
       1.703	      1.114	      0.178	      0.002	      0.001	      0.002	      0.211	
       1.402	      1.397	      0.137	      0.002	      0.001	      0.003	      0.226	
       0.983	      1.335	      0.108	      0.002	      0.001	      0.001	      0.187	
