Values recorded at: 25-Mar-2013 21:11:41

   Collision	Deformation	    Buffers	

      11.010	      0.005	      0.000	
       0.097	      0.018	      0.000	
       0.100	      0.008	      0.000	
       0.095	      0.008	      0.000	
       0.109	      0.009	      0.000	
       0.097	      0.008	      0.000	
       0.095	      0.008	      0.000	
       0.092	      0.008	      0.000	
       0.096	      4.688	      0.000	
       0.099	      4.547	      0.000	
       0.098	      4.742	      0.000	
       0.106	      4.439	      0.000	
       0.102	      4.443	      0.000	
       0.100	      4.599	      0.000	
       0.108	      4.674	      0.000	
       0.098	      4.784	      0.000	
       0.097	      4.569	      0.000	
       0.098	      4.572	      0.000	
       0.099	      5.811	      0.000	
       0.100	      5.517	      0.000	
       0.111	      4.588	      0.000	
       0.105	      4.635	      0.000	
       0.098	      5.446	      0.000	
       0.103	      5.353	      0.000	
       0.096	      4.573	      0.000	
       0.106	      4.562	      0.000	
       0.110	      4.913	      0.000	
       0.097	      4.955	      0.000	
       0.106	      5.255	      0.000	
       0.097	      5.017	      0.000	
       0.099	      4.585	      0.000	
       0.097	      5.843	      0.000	
       0.106	      4.592	      0.000	
       0.100	      4.861	      0.000	
       0.115	      5.881	      0.000	
       0.104	      5.004	      0.000	
       0.107	      4.483	      0.000	
       0.122	      4.791	      0.000	
       0.106	      4.991	      0.000	
       0.097	      4.616	      0.000	
       0.095	      4.907	      0.000	
       0.098	      4.537	      0.000	
       0.118	      6.362	      0.000	
       0.106	      5.366	      0.000	
       0.100	      5.335	      0.000	
       0.097	      4.691	      0.000	
       0.098	      5.464	      0.000	
       0.105	      5.034	      0.000	
       0.097	      6.968	      0.000	
       0.096	      5.149	      0.000	
       0.102	      5.015	      0.000	
       0.096	      4.547	      0.000	
       0.105	      4.775	      0.000	
       0.098	      4.784	      0.000	
       0.112	      4.724	      0.000	
       0.123	      4.721	      0.000	
       0.097	      5.514	      0.000	
       0.107	      5.717	      0.000	
       0.102	      4.767	      0.000	
       0.124	      4.720	      0.000	
       0.097	      4.553	      0.000	
       0.101	      4.896	      0.000	
       0.100	      5.033	      0.000	
       0.098	      5.719	      0.000	
       0.097	      4.754	      0.000	
       0.100	      5.598	      0.000	
       0.104	      4.792	      0.000	
       0.110	      4.873	      0.000	
       0.103	      5.036	      0.000	
       0.108	      4.998	      0.000	
       0.097	      5.803	      0.000	
       0.103	      4.802	      0.000	
       0.097	      5.634	      0.000	
       0.096	      4.689	      0.000	
       0.101	      5.507	      0.000	
       0.097	      6.032	      0.000	
       0.096	      5.472	      0.000	
       0.104	      0.014	      0.000	
       0.096	      0.013	      0.000	
       0.095	      0.012	      0.000	
       0.098	      0.013	      0.000	
       0.097	      0.021	      0.000	
       0.096	      0.014	      0.000	
       0.099	      0.014	      0.000	
       0.109	      4.755	      0.000	
       0.138	      4.723	      0.000	
       0.095	      5.051	      0.000	
       0.095	      4.815	      0.000	
       0.097	      5.845	      0.000	
       0.096	      5.552	      0.000	
       0.100	      6.690	      0.000	
       0.097	      5.761	      0.000	
       0.123	      5.168	      0.000	
       0.095	      5.178	      0.000	
       0.096	      5.490	      0.000	
       0.097	      5.285	      0.000	
       0.097	      6.773	      0.000	
       0.118	      5.925	      0.000	
       0.098	      6.011	      0.000	
       0.111	      5.024	      0.000	
       0.097	      4.957	      0.000	
       0.100	      5.448	      0.000	
       0.095	      7.107	      0.000	
       0.096	      5.683	      0.000	
       0.097	      4.936	      0.000	
       0.115	      5.087	      0.000	
       0.095	      4.872	      0.000	
       0.097	      6.601	      0.000	
       0.096	      6.925	      0.000	
       0.097	      6.384	      0.000	
       0.111	      5.872	      0.000	
       0.217	      5.255	      0.000	
       0.263	      5.201	      0.000	
       0.097	      5.613	      0.000	
       0.097	      5.480	      0.000	
       0.101	      8.147	      0.000	
       0.116	      5.728	      0.000	
       0.183	      5.344	      0.000	
       0.097	      6.126	      0.000	
       0.095	      5.993	      0.000	
       0.095	      5.732	      0.000	
       0.096	      8.126	      0.000	
       0.100	      7.487	      0.000	
       0.164	      5.818	      0.000	
       0.199	      5.232	      0.000	
       0.109	      5.341	      0.000	
       0.138	      5.015	      0.000	
       0.096	      7.458	      0.000	
       0.142	      5.826	      0.000	
       0.100	      6.394	      0.000	
       0.096	      5.170	      0.000	
       0.096	      5.043	      0.000	
       0.123	      5.028	      0.000	
       0.107	      5.915	      0.000	
