Values recorded at: 25-Mar-2013 21:11:41

   Collision	Deformation	    Buffers	
       0.095	      5.785	      0.000	
       0.115	      6.873	      0.000	
       0.097	      7.111	      0.000	
       0.097	      6.006	      0.000	
       0.103	      6.381	      0.000	
       0.099	      6.424	      0.000	
       0.098	      7.064	      0.000	
       0.098	      6.183	      0.000	
       0.100	      7.099	      0.000	
       0.100	      5.911	      0.000	
       0.097	      5.711	      0.000	
       0.103	      5.344	      0.000	
       0.100	      6.008	      0.000	
       0.101	      6.147	      0.000	
       0.119	      7.437	      0.000	
       0.103	      6.082	      0.000	
       0.102	      5.878	      0.000	
       0.118	      5.376	      0.000	
       0.095	      6.399	      0.000	
       0.107	      5.477	      0.000	
       0.098	      5.753	      0.000	
       0.107	      5.572	      0.000	
       0.100	      5.829	      0.000	
       0.095	      6.259	      0.000	
       0.095	      6.654	      0.000	
       0.101	      5.329	      0.000	
       0.097	      6.925	      0.000	
       0.103	      5.598	      0.000	
       0.106	      6.435	      0.000	
       0.112	      6.793	      0.000	
       0.100	      5.367	      0.000	
       0.105	      5.441	      0.000	
       0.107	      7.291	      0.000	
       0.095	      5.248	      0.000	
       0.097	      6.233	      0.000	
       0.105	      6.164	      0.000	
       0.139	      5.762	      0.000	
       0.103	      5.592	      0.000	
       0.159	      6.034	      0.000	
       0.111	      5.831	      0.000	
       0.096	      6.273	      0.000	
       0.103	      6.210	      0.000	
       0.103	      5.678	      0.000	
       0.099	      6.101	      0.000	
       0.139	      6.687	      0.000	
       0.098	      6.036	      0.000	
       0.100	      6.913	      0.000	
       0.101	      5.572	      0.000	
       0.100	      7.226	      0.000	
       0.096	      5.619	      0.000	
       0.104	      6.223	      0.000	
       0.118	      5.699	      0.000	
       0.096	      8.151	      0.000	
       0.108	      5.551	      0.000	
       0.095	      7.170	      0.000	
       0.111	      5.581	      0.000	
       0.093	      7.678	      0.000	
       0.093	      5.716	      0.000	
       0.094	      6.613	      0.000	
       0.115	      5.599	      0.000	
       0.093	      6.204	      0.000	
       0.096	      8.062	      0.000	
       0.094	      5.702	      0.000	
       0.112	      6.688	      0.000	
       0.107	      6.490	      0.000	
       0.098	      6.084	      0.000	
       0.096	      6.360	      0.000	
       0.097	      5.665	      0.000	
       0.095	      6.964	      0.000	
       0.099	      5.465	      0.000	
       0.106	      0.013	      0.000	
       0.096	      0.012	      0.000	
       0.095	      0.010	      0.000	
       0.104	      0.011	      0.000	
       0.095	      0.009	      0.000	
       0.098	      0.010	      0.000	
       0.092	      0.010	      0.000	
       0.097	      0.026	      0.000	
       0.095	      0.010	      0.000	
       0.096	      0.009	      0.000	
       0.100	      0.010	      0.000	
       0.098	      0.008	      0.000	
       0.095	      0.008	      0.000	
       0.095	      0.008	      0.000	
       0.097	      0.008	      0.000	
       0.096	      0.008	      0.000	
       0.095	      0.007	      0.000	
       0.102	      0.008	      0.000	
       0.100	      0.006	      0.000	
       0.099	      0.008	      0.000	
       0.096	      0.007	      0.000	
       0.100	      0.009	      0.000	
       0.101	      0.006	      0.000	
       0.101	      0.007	      0.000	
       0.094	      0.006	      0.000	
       0.095	      0.007	      0.000	
       0.104	      0.006	      0.000	
       0.100	      0.006	      0.000	
       0.099	      0.006	      0.000	
       0.094	      0.006	      0.000	
       0.095	      0.006	      0.000	
       0.094	      0.007	      0.000	
       0.110	      0.006	      0.000	
       0.097	      0.006	      0.000	
       0.093	      0.005	      0.000	
       0.104	      0.006	      0.000	
 
