Values recorded at: 19-Nov-2012 17:52:16

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.102	      2.198	      1.871	     11.077	      0.003	      0.387	
       0.104	      2.154	      1.841	     11.348	      0.004	      0.498	
       0.103	      1.901	      1.660	     10.666	      0.003	      0.360	
       0.103	      2.470	      1.821	     10.994	      0.005	      0.385	
       0.106	      2.294	      1.660	     10.288	      0.005	      0.467	
       0.119	      2.739	      1.665	      9.776	      0.004	      0.352	
       0.102	      2.205	      1.662	      9.470	      0.008	      0.572	
       0.221	      2.694	      1.654	      8.927	      0.004	      0.352	
       0.104	      2.175	      1.673	      8.505	      0.004	      0.486	
       0.118	      2.233	      2.065	      8.302	      0.003	      0.369	
       0.131	      2.354	      1.669	      8.074	      0.005	      0.453	
       0.162	      2.639	      1.912	      7.454	      0.009	      0.510	
       0.146	      2.220	      1.690	      6.803	      0.003	      0.369	
       0.106	      2.409	      2.423	      6.877	      0.004	      0.357	
       0.103	      2.311	      2.163	      6.067	      0.003	      0.369	
       0.100	      2.145	      2.210	      5.863	      0.014	      1.048	
       0.117	      2.647	      2.069	      5.375	      0.004	      0.338	
       0.102	      2.167	      2.109	      4.964	      0.009	      0.482	
       0.111	      2.368	      2.512	      4.632	      0.003	      0.297	
       0.099	      2.221	      2.260	      4.249	      0.003	      0.333	
       0.100	      2.183	      2.045	      4.272	      0.005	      0.376	
       0.113	      2.823	      2.757	      3.600	      0.004	      0.360	
       0.104	      2.337	      2.066	      3.250	      0.003	      0.367	
       0.102	      2.406	      2.051	      3.068	      0.004	      0.394	
       0.111	      2.758	      2.576	      2.696	      0.004	      0.304	
       0.098	      2.270	      2.272	      2.292	      0.003	      0.377	
       0.099	      2.165	      2.049	      2.168	      0.003	      0.338	
       0.100	      2.615	      2.824	      1.921	      0.005	      0.384	
       0.103	      2.181	      2.056	      1.767	      0.003	      0.435	
       0.124	      2.011	      2.053	      1.502	      0.003	      0.349	
       0.104	      2.148	      2.054	      1.419	      0.003	      0.394	
       0.116	      2.617	      2.513	      1.073	      0.003	      0.365	
       0.099	      2.220	      2.486	      0.980	      0.009	      0.485	
       0.100	      2.121	      2.458	      0.726	      0.003	      0.273	
       0.096	      2.094	      2.412	      0.749	      0.003	      0.319	
       0.109	      2.770	      3.128	      0.525	      0.004	      0.373	
       0.099	      2.200	      2.414	      0.451	      0.009	      0.429	
       0.112	      2.110	      2.039	      3.354	      0.003	      0.325	
       0.174	      2.107	      2.262	      3.580	      0.004	      0.630	
       0.128	      1.661	      2.143	      3.198	      0.003	      0.335	
       0.128	      2.383	      2.111	      3.055	      0.003	      0.342	
       0.112	      2.177	      2.141	      3.466	      0.014	      0.413	
       0.213	      2.059	      2.179	      3.067	      0.003	      0.339	
       0.173	      2.408	      2.214	      3.034	      0.003	      0.337	
       0.129	      2.429	      2.050	      3.235	      0.004	      0.393	
       0.112	      2.508	      2.687	      3.098	      0.003	      0.366	
       0.117	      2.343	      2.249	      3.043	      0.003	      0.346	
       0.116	      2.295	      1.654	      6.469	      0.004	      0.369	
       0.107	      1.408	      1.958	      6.500	      0.003	      0.353	
       0.115	      2.178	      1.801	      6.736	      0.004	      0.374	
       0.102	      1.652	      1.661	      7.280	      0.016	      0.789	
       0.104	      1.439	      1.636	      6.315	      0.003	      0.343	
       0.106	      2.074	      1.678	      6.044	      0.003	      0.344	
       0.097	      2.019	      2.503	      6.763	      0.004	      0.368	
       0.101	      1.410	      1.755	      6.743	      0.004	      0.348	
       0.102	      1.417	      2.050	      8.329	      0.004	      0.375	
