Values recorded at: 29-Apr-2013 20:05:06

   Collision	    Weather	Deformation	    Buffers	
       0.120	     13.065	      0.084	      0.000	
       0.107	     13.273	      0.052	      0.000	
       0.103	     13.722	      0.040	      0.000	
       0.107	     14.141	      0.041	      0.000	
       0.108	     14.316	      0.038	      0.000	
       0.105	     13.650	      0.040	      0.000	
       0.118	     13.678	      0.039	      0.000	
       0.105	     12.849	      0.043	      0.000	
       0.117	     13.111	      0.067	      0.000	
       0.105	     14.101	      0.039	      0.000	
       0.100	     13.270	      0.039	      0.000	
       0.104	     13.710	      0.042	      0.000	
       0.100	     17.766	      0.036	      0.000	
       0.128	      7.748	      0.039	      0.000	
       0.105	      8.374	      0.041	      0.000	
       0.106	      8.537	      0.039	      0.000	
       0.104	      9.702	      0.039	      0.000	
       0.104	      9.606	      0.041	      0.000	
       0.112	      8.617	      0.039	      0.000	
       0.105	      9.531	      0.038	      0.000	
       0.104	      9.184	      0.039	      0.000	
       0.171	      9.326	      0.111	      0.000	
       0.103	      9.485	      0.039	      0.000	
       0.107	     10.045	      0.039	      0.000	
       0.119	      9.136	      0.057	      0.000	
       0.108	      9.714	      0.042	      0.000	
       0.108	      9.861	      0.041	      0.000	
       0.123	      9.832	      0.062	      0.000	
       0.103	      9.539	      0.039	      0.000	
       0.104	      9.878	      0.040	      0.000	
       0.123	     10.147	      0.040	      0.000	
       0.103	     10.160	      0.048	      0.000	
       0.103	     10.567	      0.041	      0.000	
       0.100	     10.557	      0.040	      0.000	
       0.100	     11.385	      0.039	      0.000	
       0.100	     11.471	      0.040	      0.000	
       0.106	     11.575	      0.038	      0.000	
       0.101	     11.760	      0.038	      0.000	
       0.106	     11.507	      0.039	      0.000	
       0.108	     12.142	      0.043	      0.000	
       0.103	     11.592	      0.038	      0.000	
       0.153	     12.484	      0.038	      0.000	
       0.106	     12.638	      0.044	      0.000	
       0.102	     13.123	      0.039	      0.000	
       0.103	     13.445	      0.039	      0.000	
       0.100	     12.564	      0.039	      0.000	
       0.109	     12.403	      0.039	      0.000	
       0.100	     13.056	      0.038	      0.000	
       0.103	     13.345	      0.044	      0.000	
       0.103	     13.138	      0.041	      0.000	
       0.100	     13.275	      0.039	      0.000	
       0.105	     13.764	      0.046	      0.000	
       0.106	     12.859	      0.044	      0.000	
       0.103	     12.730	      0.041	      0.000	
       0.102	     13.596	      0.039	      0.000	
       0.103	     13.176	      0.041	      0.000	
       0.101	     13.522	      0.040	      0.000	
       0.100	     12.986	      0.039	      0.000	
       0.100	     13.549	      0.041	      0.000	
       0.103	     14.511	      0.040	      0.000	
       0.099	     13.333	      0.037	      0.000	
       0.105	     13.040	      0.044	      0.000	
       0.109	     13.495	      0.061	      0.000	
       0.103	     14.312	      0.038	      0.000	
       0.106	     13.811	      0.040	      0.000	
       0.103	     14.219	      0.041	      0.000	
       0.113	     14.370	      0.039	      0.000	
       0.103	     13.371	      0.045	      0.000	
       0.103	     12.800	      0.038	      0.000	
       0.108	     13.068	      0.040	      0.000	
       0.103	     13.901	      0.040	      0.000	
       0.103	     14.689	      0.038	      0.000	
       0.107	     15.031	      0.038	      0.000	
       0.100	     13.636	      0.038	      0.000	
       0.104	     13.934	      0.041	      0.000	
       0.124	     13.463	      0.069	      0.000	
       0.103	     13.604	      0.041	      0.000	
       0.103	     14.409	      0.038	      0.000	
       0.104	     14.604	      0.042	      0.000	
       0.102	     13.380	      0.042	      0.000	
       0.103	     14.219	      0.041	      0.000	
       0.102	     13.170	      0.038	      0.000	
       0.102	     13.094	      0.040	      0.000	
       0.105	     13.305	      0.047	      0.000	
       0.103	     13.854	      0.038	      0.000	
       0.107	     14.107	      0.038	      0.000	
       0.100	     13.654	      0.042	      0.000	
       0.104	     14.306	      0.040	      0.000	
       0.103	     13.448	      0.040	      0.000	
       0.109	     14.098	      0.039	      0.000	
       0.104	     13.102	      0.039	      0.000	
 
