Values recorded at: 21-Nov-2012 13:05:10

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.453	      6.429	      0.000	      0.000	      0.001	      0.489	
       0.392	      6.840	      0.000	      0.000	      0.001	      0.410	
       0.425	      7.376	      0.000	      0.000	      0.002	      0.476	
       0.441	      6.969	      0.000	      0.000	      0.002	      0.435	
       0.431	      6.679	      0.000	      0.000	      0.001	      0.424	
       0.427	      6.809	      0.000	      0.000	      0.002	      0.430	
       0.421	      6.663	      0.000	      0.000	      0.001	      0.421	
       0.393	      7.421	      0.000	      0.000	      0.002	      0.446	
       0.421	      6.583	      0.000	      0.000	      0.002	      0.414	
       0.403	      6.616	      0.000	      0.000	      0.002	      0.402	
       0.397	      6.725	      0.000	      0.000	      0.003	      0.494	
       0.437	      7.018	      0.000	      0.000	      0.001	      0.454	
       0.458	      6.786	      0.000	      0.000	      0.002	      0.420	
       0.427	      6.647	      0.000	      0.000	      0.001	      0.394	
       0.395	      7.045	      0.001	      0.000	      0.003	      0.930	
       0.494	      6.750	      0.000	      0.000	      0.001	      0.444	
       0.473	      6.798	      0.000	      0.000	      0.002	      0.422	
       0.397	      6.908	      0.000	      0.000	      0.002	      0.409	
       0.384	      6.710	      0.001	      0.000	      0.002	      0.485	
       0.461	      6.746	      0.000	      0.000	      0.003	      0.487	
       0.464	      6.854	      0.000	      0.000	      0.002	      0.428	
       0.381	      6.747	      0.000	      0.000	      0.002	      0.505	
       0.457	      6.764	      0.000	      0.000	      0.001	      0.538	
       0.750	      6.328	      0.000	      0.000	      0.002	      0.470	
       0.412	      6.761	      0.000	      0.000	      0.001	      0.583	
       0.443	      6.950	      0.000	      0.000	      0.002	      0.431	
       0.502	      6.703	      0.000	      0.000	      0.007	      0.833	
       0.397	      6.436	      0.000	      0.000	      0.003	      0.780	
       0.392	      6.996	      0.000	      0.000	      0.002	      0.412	
       0.436	      6.653	      0.000	      0.000	      0.002	      0.422	
       0.401	      6.574	      0.000	      0.000	      0.001	      0.404	
       0.410	      7.442	      0.000	      0.000	      0.002	      0.447	
       0.461	      6.549	      0.000	      0.000	      0.002	      0.394	
       0.402	      7.281	      0.000	      0.000	      0.002	      0.441	
       0.447	      7.709	      0.000	      0.000	      0.001	      0.443	
       0.409	      6.434	      0.000	      0.000	      0.002	      0.436	
       0.420	      6.542	      0.000	      0.000	      0.006	      0.661	
