Values recorded at: 30-Jan-2013 14:46:38

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      14.189	      0.892	      0.000	      0.000	      0.016	      0.383	
      14.713	      1.135	      0.000	      0.000	      0.019	      0.319	
      14.449	      0.940	      0.000	      0.000	      0.015	      0.334	
      13.351	      0.926	      0.001	      0.000	      0.016	      0.354	
      13.130	      0.898	      0.000	      0.000	      0.015	      0.325	
      12.890	      0.908	      0.000	      0.000	      0.016	      0.322	
      14.373	      0.906	      0.000	      0.000	      0.015	      0.396	
      14.612	      0.905	      0.000	      0.000	      0.017	      0.313	
      14.486	      0.980	      0.000	      0.000	      0.016	      0.307	
      12.864	      0.908	      0.001	      0.000	      0.017	      0.320	
      12.993	      0.912	      0.000	      0.000	      0.019	      0.336	
      13.064	      0.906	      0.000	      0.000	      0.016	      0.351	
      14.490	      0.911	      0.000	      0.000	      0.018	      0.305	
      13.747	      0.906	      0.000	      0.000	      0.018	      0.307	
      13.541	      0.914	      0.000	      0.000	      0.017	      0.310	
      12.891	      1.045	      0.001	      0.000	      0.017	      0.308	
      13.055	      1.066	      0.001	      0.000	      0.016	      0.305	
      12.981	      1.041	      0.001	      0.000	      0.016	      0.297	
      12.993	      0.913	      0.001	      0.000	      0.094	      0.349	
      13.181	      0.900	      0.000	      0.000	      0.016	      0.301	
      13.076	      0.903	      0.001	      0.000	      0.017	      0.313	
      12.792	      0.902	      0.000	      0.000	      0.017	      0.311	
      13.002	      0.901	      0.001	      0.000	      0.015	      0.319	
      12.995	      0.910	      0.000	      0.000	      0.017	      0.316	
      14.551	      0.923	      0.000	      0.000	      0.018	      0.360	
      14.452	      0.900	      0.000	      0.000	      0.015	      0.302	
      14.443	      0.985	      0.001	      0.000	      0.016	      0.447	
      14.574	      0.906	      0.001	      0.000	      0.017	      0.356	
      13.761	      0.931	      0.000	      0.000	      0.015	      0.319	
      13.563	      0.920	      0.001	      0.000	      0.018	      0.314	
      13.039	      0.901	      0.001	      0.000	      0.018	      0.323	
      12.801	      0.908	      0.001	      0.000	      0.018	      0.313	
