Values recorded at: 05-Dec-2012 21:21:59

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	
      10.219	      0.777	      0.085	      3.945	      0.015	      0.402	
      10.274	      0.860	      0.089	      5.043	      0.021	      0.405	
      10.575	      0.773	      0.059	      5.600	      0.015	      0.427	
      11.458	      0.780	      0.059	      5.621	      0.017	      0.375	
      10.235	      0.905	      0.059	      5.807	      0.018	      0.414	
      11.036	      1.074	      0.061	      6.596	      0.015	      0.425	
      11.314	      0.890	      0.060	      6.957	      0.021	      0.449	
      10.690	      0.767	      0.032	      7.886	      0.018	      0.434	
      11.505	      0.889	      0.005	      9.552	      0.021	      0.414	
      11.680	      0.829	      0.005	      9.515	      0.027	      0.528	
      10.972	      0.821	      0.005	      9.377	      0.024	      0.445	
      11.423	      0.821	      0.014	      8.414	      0.015	      0.366	
      11.384	      0.797	      0.005	      8.756	      0.046	      0.491	
      10.989	      0.812	      0.005	      8.872	      0.022	      0.402	
      10.555	      0.780	      0.005	      7.749	      0.016	      0.369	
      11.535	      0.973	      0.009	      9.644	      0.020	      0.404	
      10.505	      0.793	      0.005	      9.703	      0.021	      0.402	
      10.098	      0.792	      0.005	      7.989	      0.021	      0.417	
      11.160	      0.825	      0.005	      7.880	      0.018	      0.401	
      10.857	      0.765	      0.005	      9.365	      0.022	      0.422	
      10.631	      0.774	      0.005	      9.065	      0.016	      0.471	
      10.690	      0.812	      0.005	      7.839	      0.017	      0.391	
      10.440	      1.118	      0.008	      7.905	      0.021	      0.416	
      10.050	      0.774	      0.005	      7.587	      0.022	      0.509	
       9.962	      0.919	      0.005	      7.510	      0.017	      0.426	
      11.091	      0.924	      0.009	      7.884	      0.020	      0.413	
      11.176	      0.839	      0.006	      7.709	      0.021	      0.428	
      10.977	      0.776	      0.005	      7.967	      0.017	      0.374	
      10.899	      0.770	      0.005	      7.270	      0.018	      0.423	
      11.012	      0.854	      0.005	      8.332	      0.023	      0.419	
      10.996	      0.759	      0.005	      8.493	      0.041	      0.485	
      11.107	      0.831	      0.005	      8.155	      0.016	      0.375	
      11.147	      0.787	      0.005	      7.298	      0.017	      0.388	
      11.292	      0.765	      0.006	      6.430	      0.028	      0.529	
      10.359	      1.065	      0.008	      6.698	      0.022	      0.424	
      11.102	      0.845	      0.005	      7.564	      0.021	      0.490	
      11.121	      0.788	      0.005	      5.984	      0.016	      0.381	
      11.179	      0.812	      0.005	      7.153	      0.018	      0.448	
