Values recorded at: 19-Nov-2012 20:40:31

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.428	      7.070	      0.000	      0.001	      0.011	      0.481	
       0.428	      7.100	      0.000	      0.001	      0.011	      0.479	
       0.427	      6.933	      0.000	      0.001	      0.011	      0.479	
       0.433	      6.839	      0.000	      0.001	      0.013	      0.486	
       0.420	      7.052	      0.000	      0.001	      0.012	      0.481	
       0.446	      6.584	      0.000	      0.000	      0.012	      0.483	
       0.508	      6.948	      0.000	      0.001	      0.013	      0.488	
       0.433	      6.949	      0.000	      0.001	      0.012	      0.482	
       0.438	      7.081	      0.000	      0.001	      0.013	      0.482	
       0.431	      6.995	      0.000	      0.001	      0.012	      0.472	
       0.408	      7.073	      0.000	      0.001	      0.013	      0.479	
       0.425	      7.014	      0.000	      0.001	      0.013	      0.468	
       0.435	      7.032	      0.000	      0.001	      0.012	      0.487	
       0.454	      7.064	      0.000	      0.001	      0.012	      0.476	
       0.445	      7.070	      0.000	      0.001	      0.015	      0.499	
       0.456	      7.042	      0.000	      0.001	      0.014	      0.497	
       0.428	      7.143	      0.000	      0.001	      0.013	      0.478	
       0.425	      6.800	      0.000	      0.001	      0.011	      0.467	
       0.382	      6.750	      0.000	      0.001	      0.013	      0.498	
       0.429	      7.008	      0.000	      0.001	      0.012	      0.470	
       0.408	      6.805	      0.000	      0.001	      0.012	      0.470	
       0.427	      7.018	      0.000	      0.000	      0.012	      0.476	
       0.407	      6.814	      0.000	      0.001	      0.011	      0.470	
       0.407	      6.831	      0.000	      0.001	      0.011	      0.467	
       0.405	      6.967	      0.000	      0.001	      0.012	      0.483	
       0.426	      6.928	      0.000	      0.001	      0.014	      0.470	
       0.428	      6.951	      0.000	      0.001	      0.012	      0.480	
       0.394	      7.126	      0.000	      0.001	      0.012	      0.470	
       0.409	      6.828	      0.000	      0.001	      0.012	      0.471	
       0.405	      6.964	      0.000	      0.001	      0.014	      0.477	
       0.428	      7.200	      0.000	      0.001	      0.015	      0.492	
       0.414	      6.946	      0.000	      0.001	      0.012	      0.488	
       0.416	      7.094	      0.000	      0.001	      0.013	      0.472	
       0.422	      6.808	      0.000	      0.001	      0.013	      0.484	
