Values recorded at: 02-Jan-2014 15:39:41

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	
       0.015	      2.730	      0.334	      0.001	      0.180	      0.017	      0.487	
       0.013	      2.733	      0.346	      0.001	      0.174	      0.015	      0.502	
       0.013	      2.670	      0.328	      0.001	      0.174	      0.015	      0.483	
       0.014	      2.576	      0.375	      0.002	      0.196	      0.020	      0.530	
       0.013	      2.617	      0.331	      0.001	      0.179	      0.016	      0.493	
       0.012	      2.535	      0.334	      0.001	      0.182	      0.014	      0.460	
       0.014	      2.625	      0.336	      0.001	      0.213	      0.015	      0.464	
       0.013	      2.588	      0.335	      0.001	      0.213	      0.014	      0.470	
       0.012	      2.646	      0.319	      0.001	      0.202	      0.015	      0.455	
       0.012	      2.585	      0.338	      0.001	      0.213	      0.022	      0.629	
       0.013	      2.690	      0.334	      0.001	      0.171	      0.016	      0.493	
       0.013	      2.671	      0.318	      0.001	      0.164	      0.015	      0.470	
       0.013	      2.613	      0.333	      0.001	      0.166	      0.014	      0.473	
       0.014	      2.612	      0.381	      0.001	      0.175	      0.016	      0.483	
       0.012	      2.498	      0.320	      0.001	      0.168	      0.015	      0.474	
       0.013	      2.604	      0.327	      0.001	      0.180	      0.016	      0.492	
       0.012	      2.542	      0.340	      0.001	      0.178	      0.015	      0.479	
       0.013	      2.558	      0.352	      0.001	      0.170	      0.014	      0.476	
       0.013	      2.812	      0.371	      0.001	      0.186	      0.015	      0.474	
       0.013	      2.590	      0.335	      0.001	      0.222	      0.018	      0.496	
       0.013	      2.609	      0.341	      0.001	      0.222	      0.015	      0.478	
       0.015	      2.654	      0.465	      0.001	      0.229	      0.018	      0.515	
       0.020	      2.696	      0.362	      0.001	      0.216	      0.016	      0.492	
       0.015	      2.659	      0.349	      0.001	      0.211	      0.019	      0.508	
       0.015	      2.693	      0.385	      0.002	      0.174	      0.020	      0.513	
       0.024	      2.630	      0.414	      0.024	      0.175	      0.018	      0.520	
       0.013	      2.615	      0.328	      0.000	      0.167	      0.015	      0.476	
       0.012	      2.584	      0.339	      0.000	      0.183	      0.016	      0.509	
       0.012	      2.600	      0.351	      0.000	      0.172	      0.017	      0.523	
       0.019	      2.660	      0.406	      0.000	      0.167	      0.018	      0.484	
       0.013	      2.569	      0.319	      0.000	      0.164	      0.018	      0.492	
       0.013	      2.577	      0.329	      0.001	      0.169	      0.016	      0.484	
       0.013	      2.683	      0.329	      0.001	      0.224	      0.015	      0.486	
       0.014	      2.664	      0.321	      0.000	      0.192	      0.016	      0.493	
       0.013	      2.627	      0.316	      0.000	      0.216	      0.015	      0.450	
       0.013	      2.572	      0.320	      0.001	      0.217	      0.017	      0.480	
       0.013	      2.596	      0.334	      0.001	      0.227	      0.015	      0.467	
       0.012	      2.549	      0.320	      0.000	      0.213	      0.016	      0.451	
       0.013	      2.595	      0.323	      0.001	      0.178	      0.015	      0.452	
       0.012	      2.573	      0.336	      0.000	      0.180	      0.015	      0.469	
       0.012	      2.538	      0.316	      0.000	      0.175	      0.014	      0.441	
       0.012	      2.519	      0.333	      0.000	      0.172	      0.013	      0.470	
       0.013	      2.576	      0.320	      0.000	      0.178	      0.014	      0.505	
       0.014	      2.650	      0.329	      0.001	      0.220	      0.015	      0.475	
       0.014	      2.722	      0.331	      0.001	      0.215	      0.016	      0.464	
       0.014	      2.665	      0.341	      0.001	      0.217	      0.016	      0.476	
       0.013	      2.621	      0.325	      0.000	      0.235	      0.016	      0.451	
       0.013	      2.605	      0.312	      0.001	      0.194	      0.024	      0.474	
       0.013	      2.656	      0.340	      0.001	      0.188	      0.018	      0.499	
       0.012	      2.583	      0.351	      0.000	      0.168	      0.015	      0.481	
       0.013	      2.552	      0.310	      0.000	      0.166	      0.015	      0.452	
       0.013	      2.572	      0.319	      0.000	      0.176	      0.015	      0.483	
       0.012	      2.555	      0.320	      0.000	      0.201	      0.015	      0.452	
       0.013	      2.565	      0.323	      0.001	      0.170	      0.015	      0.444	
       0.013	      2.605	      0.340	      0.000	      0.237	      0.016	      0.503	
       0.014	      2.682	      0.334	      0.001	      0.229	      0.018	      0.479	
       0.014	      2.718	      0.360	      0.001	      0.216	      0.017	      0.482	
       0.013	      2.683	      0.323	      0.000	      0.229	      0.016	      0.493	
       0.019	      2.656	      0.345	      0.001	      0.235	      0.019	      0.513	
       0.012	      2.570	      0.325	      0.000	      0.204	      0.018	      0.475	
       0.012	      2.580	      0.328	      0.001	      0.189	      0.014	      0.421	
       0.012	      2.679	      0.322	      0.000	      0.178	      0.015	      0.473	
       0.013	      2.594	      0.316	      0.000	      0.173	      0.014	      0.446	
       0.013	      2.570	      0.327	      0.000	      0.180	      0.015	      0.462	
       0.012	      2.530	      0.381	      0.000	      0.175	      0.014	      0.508	
       0.012	      2.552	      0.336	      0.001	      0.251	      0.015	      0.528	
       0.014	      2.736	      0.354	      0.001	      0.217	      0.016	      0.490	
       0.017	      2.717	      0.340	      0.001	      0.216	      0.018	      0.522	
       0.013	      2.583	      0.355	      0.000	      0.199	      0.016	      0.497	
       0.013	      2.634	      0.341	      0.000	      0.210	      0.016	      0.501	
       0.013	      2.645	      0.321	      0.000	      0.203	      0.021	      0.483	
       0.013	      2.596	      0.322	      0.001	      0.210	      0.015	      0.458	
       0.012	      2.529	      0.303	      0.000	      0.213	      0.014	      0.447	
       0.012	      2.548	      0.303	      0.000	      0.221	      0.015	      0.438	
       0.013	      2.582	      0.336	      0.001	      0.172	      0.018	      0.483	
       0.012	      2.630	      0.320	      0.001	      0.211	      0.015	      0.486	
       0.013	      2.571	      0.335	      0.000	      0.177	      0.015	      0.461	
       0.012	      2.508	      0.307	      0.001	      0.192	      0.014	      0.473	
       0.013	      2.620	      0.318	      0.001	      0.188	      0.015	      1.785	
       0.017	      2.662	      0.352	      0.001	      0.217	      0.018	      1.693	
       0.013	      2.671	      0.331	      0.001	      0.215	      0.015	      1.724	
       0.014	      2.549	      0.366	      0.001	      0.245	      0.015	      1.867	
       0.014	      2.668	      0.346	      0.001	      0.228	      0.018	      1.515	
       0.013	      2.619	      0.410	      0.010	      0.213	      0.015	      1.304	
       0.013	      2.671	      0.321	      0.001	      0.207	      0.015	      1.280	
       0.013	      2.554	      0.331	      0.001	      0.175	      0.016	      1.272	
