Values recorded at: 02-Dec-2012 14:24:52

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.062	      0.898	      0.000	      0.000	      0.147	      0.289	
       0.060	      1.030	      0.000	      0.000	      0.162	      0.314	
       0.061	      0.993	      0.000	      0.000	      0.142	      0.367	
       0.068	      1.084	      0.001	      0.000	      0.154	      0.304	
       0.059	      0.872	      0.000	      0.000	      0.145	      0.287	
       0.062	      1.022	      0.001	      0.000	      0.149	      0.289	
       0.102	      0.934	      0.000	      0.000	      0.145	      0.399	
       0.074	      0.939	      0.000	      0.000	      0.157	      0.305	
       0.058	      0.859	      0.000	      0.000	      0.245	      0.510	
       0.062	      0.956	      0.000	      0.000	      0.144	      0.334	
       0.056	      0.764	      0.000	      0.000	      0.148	      0.305	
       0.063	      0.905	      0.000	      0.000	      0.204	      0.320	
       0.058	      0.941	      0.000	      0.000	      0.159	      0.496	
       0.065	      0.901	      0.000	      0.000	      0.145	      0.332	
       0.073	      1.516	      0.000	      0.000	      0.149	      0.323	
       0.065	      1.050	      0.002	      0.000	      0.157	      0.360	
       0.057	      0.779	      0.000	      0.000	      0.145	      0.289	
       0.060	      1.112	      0.000	      0.000	      0.144	      0.296	
       0.061	      0.788	      0.000	      0.000	      0.211	      0.628	
       0.062	      0.897	      0.000	      0.000	      0.187	      0.572	
       0.060	      0.800	      0.000	      0.000	      0.146	      0.293	
       0.057	      0.845	      0.000	      0.000	      0.153	      0.324	
       0.061	      0.900	      0.000	      0.000	      0.142	      0.288	
       0.065	      0.822	      0.000	      0.000	      0.140	      0.283	
       0.057	      0.769	      0.000	      0.000	      0.148	      0.290	
       0.062	      0.782	      0.000	      0.000	      0.145	      0.291	
       0.065	      1.110	      0.000	      0.000	      0.139	      0.285	
       0.063	      1.074	      0.000	      0.000	      0.151	      0.292	
       0.063	      0.992	      0.000	      0.000	      0.149	      0.308	
       0.063	      0.955	      0.000	      0.000	      0.144	      0.292	
       0.058	      0.837	      0.000	      0.000	      0.142	      0.287	
       0.057	      0.774	      0.000	      0.000	      0.145	      0.299	
       0.062	      0.789	      0.000	      0.000	      0.279	      0.409	
       0.056	      0.794	      0.000	      0.000	      0.183	      0.376	
       0.062	      0.798	      0.000	      0.000	      0.167	      0.358	
       0.056	      0.772	      0.000	      0.000	      0.167	      0.401	
       0.086	      0.869	      0.000	      0.000	      0.137	      0.286	
       0.083	      1.147	      0.000	      0.000	      0.160	      0.299	
       0.057	      0.780	      0.000	      0.000	      0.160	      0.290	
       0.067	      1.848	      0.000	      0.000	      0.143	      0.295	
       0.066	      0.870	      0.000	      0.000	      0.142	      0.281	
       0.058	      0.772	      0.000	      0.000	      0.240	      0.356	
       0.056	      1.095	      0.000	      0.000	      0.262	      0.585	
       0.060	      0.783	      0.000	      0.000	      0.139	      0.290	
       0.062	      0.929	      0.000	      0.000	      0.520	      0.328	
       0.061	      0.840	      0.000	      0.000	      0.142	      0.284	
       0.059	      0.792	      0.000	      0.000	      0.138	      0.295	
       0.071	      1.090	      0.000	      0.000	      0.167	      0.371	
       0.080	      1.232	      0.001	      0.000	      0.149	      0.287	
       0.067	      0.968	      0.000	      0.000	      0.252	      0.436	
       0.063	      1.174	      0.000	      0.000	      0.150	      0.294	
       0.056	      0.842	      0.000	      0.000	      0.157	      0.327	
       0.059	      0.777	      0.000	      0.000	      0.208	      0.297	
       0.063	      0.824	      0.000	      0.000	      0.143	      0.294	
       0.058	      0.824	      0.000	      0.000	      0.154	      0.323	
       0.059	      0.806	      0.000	      0.001	      0.195	      0.313	
       0.058	      0.772	      0.000	      0.000	      0.190	      0.420	
       0.056	      0.772	      0.000	      0.000	      0.151	      0.412	
       0.061	      0.835	      0.000	      0.000	      0.153	      0.309	
       0.063	      0.804	      0.000	      0.000	      0.141	      0.291	
       0.058	      0.788	      0.000	      0.000	      0.161	      0.582	
       0.063	      0.817	      0.000	      0.000	      0.157	      0.281	
       0.056	      0.800	      0.000	      0.000	      0.150	      0.287	
       0.120	      0.918	      0.000	      0.000	      0.143	      0.286	
       0.061	      1.110	      0.001	      0.000	      0.149	      0.290	
       0.065	      1.119	      0.000	      0.000	      0.142	      0.274	
       0.058	      0.795	      0.000	      0.000	      0.183	      0.516	
       0.127	      1.148	      0.001	      0.000	      0.206	      0.498	
       0.058	      0.813	      0.000	      0.000	      0.213	      0.573	
       0.089	      1.465	      0.000	      0.000	      0.282	      0.630	
       0.057	      1.192	      0.001	      0.000	      0.162	      0.473	
       0.062	      1.609	      0.000	      0.000	      0.273	      0.344	
       0.058	      0.781	      0.000	      0.000	      0.142	      0.286	
       0.062	      0.791	      0.000	      0.000	      0.154	      0.338	
       0.057	      0.814	      0.000	      0.000	      0.145	      0.298	
       0.058	      0.918	      0.000	      0.000	      0.203	      0.358	
       0.064	      0.825	      0.000	      0.000	      0.165	      0.435	
       0.056	      0.840	      0.000	      0.000	      0.214	      0.413	
       0.062	      0.771	      0.000	      0.000	      0.194	      0.482	
       0.053	      0.868	      0.000	      0.000	      0.142	      0.290	
       0.062	      0.782	      0.000	      0.000	      0.143	      0.288	
       0.057	      0.790	      0.000	      0.001	      0.147	      0.283	
       0.063	      0.843	      0.000	      0.000	      0.146	      0.287	
       0.059	      0.768	      0.000	      0.000	      0.139	      0.284	
       0.059	      0.821	      0.000	      0.000	      0.147	      0.287	
       0.060	      1.511	      0.000	      0.000	      0.186	      0.346	
       0.059	      0.896	      0.000	      0.000	      0.139	      0.282	
       0.061	      0.777	      0.000	      0.000	      0.144	      0.284	
       0.098	      0.973	      0.000	      0.000	      0.150	      0.302	
       0.068	      1.265	      0.000	      0.000	      0.248	      0.330	
       0.095	      1.101	      0.001	      0.000	      0.141	      0.284	
       0.063	      1.016	      0.001	      0.000	      0.148	      0.328	
       0.082	      1.129	      0.000	      0.000	      0.142	      0.311	
       0.060	      0.912	      0.000	      0.000	      0.159	      0.349	
       0.078	      1.049	      0.000	      0.000	      0.151	      0.374	
       0.060	      0.894	      0.000	      0.000	      0.191	      0.486	
       0.060	      1.258	      0.000	      0.000	      0.139	      0.299	
       0.059	      0.774	      0.000	      0.000	      0.167	      0.490	
       0.059	      0.766	      0.000	      0.000	      0.178	      0.311	
       0.056	      0.793	      0.000	      0.000	      0.159	      0.476	
       0.058	      0.771	      0.000	      0.000	      0.148	      0.325	
       0.056	      0.813	      0.000	      0.000	      0.259	      0.477	
       0.070	      0.786	      0.000	      0.000	      0.147	      0.280	
       0.056	      0.788	      0.000	      0.000	      0.143	      0.396	
       0.062	      0.856	      0.000	      0.000	      0.142	      0.282	
       0.062	      0.865	      0.000	      0.000	      0.143	      0.279	
       0.062	      0.793	      0.000	      0.000	      0.138	      0.289	
       0.059	      0.858	      0.000	      0.000	      0.147	      0.292	
       0.073	      0.808	      0.000	      0.000	      0.147	      0.279	
       0.124	      1.478	      0.000	      0.000	      0.139	      0.286	
       0.057	      0.809	      0.000	      0.000	      0.142	      0.277	
       0.135	      1.857	      0.001	      0.000	      0.145	      0.295	
       0.068	      1.199	      0.000	      0.000	      0.158	      0.297	
       0.066	      1.051	      0.000	      0.000	      0.136	      0.281	
       0.063	      1.376	      0.000	      0.000	      0.183	      0.584	
       0.104	      1.516	      0.002	      0.000	      0.150	      0.286	
       0.057	      0.885	      0.000	      0.001	      0.206	      0.343	
       0.062	      0.848	      0.000	      0.000	      0.143	      0.278	
       0.056	      0.839	      0.000	      0.000	      0.222	      0.606	
       0.066	      0.869	      0.000	      0.000	      0.223	      0.379	
       0.057	      0.834	      0.000	      0.000	      0.152	      0.418	
       0.058	      0.837	      0.000	      0.000	      0.154	      0.355	
       0.058	      0.779	      0.000	      0.000	      0.154	      0.307	
