Values recorded at: 28-Aug-2013 22:58:45

   Collision	    Weather	Deformation	    Buffers	

       0.156	      0.000	      0.013	      0.000	

       0.130	      0.000	      0.012	      0.000	
       0.128	      0.000	      0.011	      0.000	
       0.192	      0.000	      0.012	      0.000	
       0.128	      0.000	      0.049	      0.000	
       0.129	      0.000	      0.013	      0.000	
       0.133	      0.000	      0.010	      0.000	
       0.163	      0.000	      0.027	      0.000	
       0.196	      0.000	      0.012	      0.000	
       0.138	      0.000	      0.010	      0.000	
       0.128	      0.000	      0.010	      0.000	
       0.149	      0.000	      0.009	      0.000	
       0.127	      0.000	      0.048	      0.000	
       0.194	      0.000	      0.012	      0.000	
       0.123	      0.000	      0.022	      0.000	
       0.127	      0.000	      0.009	      0.000	
       0.127	      0.000	      0.012	      0.000	
       0.132	      0.000	      0.010	      0.000	
       0.152	      0.000	      0.011	      0.000	
       0.192	      0.000	      0.013	      0.000	
       0.237	      0.000	      0.012	      0.000	
       0.192	      0.000	      0.013	      0.000	
       0.127	      0.000	      0.010	      0.000	
       0.127	      0.000	      0.010	      0.000	
       0.198	      0.000	      0.016	      0.000	
       0.130	      0.000	      0.012	      0.000	
       0.127	      0.000	      0.013	      0.000	
       0.239	      0.000	      0.014	      0.000	
       0.195	      0.000	      0.012	      0.000	
       0.169	      0.000	      0.012	      0.000	
       0.193	      0.000	      0.018	      0.000	
       0.192	      0.000	      0.014	      0.000	
       0.195	      0.000	      0.014	      0.000	
       0.140	      0.000	      0.012	      0.000	
       0.127	      0.000	      0.015	      0.000	
       0.129	      0.000	      0.012	      0.000	
       0.132	      0.000	      0.012	      0.000	
       0.129	      0.000	      0.013	      0.000	
       0.127	      0.000	      0.012	      0.000	
       0.128	      0.000	      0.012	      0.000	
       0.134	      0.000	      0.012	      0.000	
       0.192	      0.000	      0.013	      0.000	
       0.194	      0.000	      0.010	      0.000	
       0.129	      0.000	      0.028	      0.000	
       0.132	      0.000	      0.009	      0.000	
       0.129	      0.000	      0.011	      0.000	
       0.133	      0.000	      0.011	      0.000	
       0.193	      0.000	      0.012	      0.000	
       0.195	      0.000	      0.013	      0.000	
