Values recorded at: 14-Apr-2013 20:59:37

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.964	      1.373	      0.847	      0.001	      0.002	      0.015	      0.291	

       0.811	      1.338	      0.676	      0.000	      0.001	      0.011	      0.257	
       0.802	      1.359	      0.778	      0.001	      0.001	      0.022	      0.352	
       0.862	      1.326	      0.821	      0.000	      0.001	      0.011	      0.257	
       0.844	      1.366	      0.812	      0.001	      0.002	      0.011	      0.255	
       0.912	      1.299	      0.866	      0.000	      0.001	      0.015	      0.267	
       1.618	      1.398	      0.876	      0.000	      0.001	      0.024	      0.344	
       1.534	      1.435	      1.175	      0.000	      0.001	      0.014	      0.269	
       1.126	      1.289	      1.143	      0.000	      0.001	      0.013	      0.275	
       1.685	      1.294	      0.706	      0.000	      0.001	      0.012	      0.266	
       0.832	      1.404	      0.819	      0.002	      0.002	      0.015	      0.282	
       1.219	      1.385	      1.381	      0.001	      0.002	      0.016	      0.282	
       0.828	      1.369	      0.811	      0.001	      0.001	      0.020	      0.317	
       1.408	      1.511	      0.873	      0.000	      0.001	      0.041	      0.392	
       0.842	      1.331	      0.807	      0.001	      0.002	      0.012	      0.257	
       0.886	      1.443	      0.916	      0.000	      0.001	      0.018	      0.389	
       0.804	      1.284	      0.802	      0.000	      0.001	      0.014	      0.269	
       0.832	      1.277	      0.679	      0.000	      0.001	      0.017	      0.307	
       0.783	      1.350	      0.678	      0.000	      0.001	      0.015	      0.293	
       0.932	      1.341	      0.824	      0.000	      0.001	      0.014	      0.265	
       0.844	      1.324	      0.760	      0.001	      0.002	      0.010	      0.259	
       0.815	      1.362	      0.810	      0.000	      0.002	      0.016	      0.329	
       0.967	      1.361	      0.813	      0.000	      0.002	      0.010	      0.249	
       0.821	      1.346	      0.830	      0.001	      0.001	      0.011	      0.252	
       0.807	      1.262	      0.689	      0.000	      0.001	      0.011	      0.260	
       0.947	      1.321	      0.831	      0.000	      0.001	      0.013	      0.268	
       0.842	      1.338	      0.829	      0.000	      0.002	      0.011	      0.262	
       0.828	      1.560	      0.803	      0.001	      0.002	      0.013	      0.272	
       0.926	      1.292	      0.671	      0.001	      0.002	      0.011	      0.252	
       0.829	      1.346	      0.819	      0.000	      0.001	      0.010	      0.254	
       0.895	      1.332	      0.859	      0.000	      0.001	      0.014	      0.266	
