Values recorded at: 09-Aug-2013 11:17:03

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	
       0.454	      1.844	      0.812	      0.002	      0.005	      0.020	      0.380	
       0.514	      1.763	      0.904	      0.003	      0.003	      0.020	      0.441	
       0.813	      1.229	      0.976	      0.002	      0.003	      0.020	      0.301	
       0.307	      1.339	      0.586	      0.001	      0.002	      0.013	      0.297	
       0.864	      2.253	      1.675	      0.004	      0.004	      0.012	      0.306	
       0.302	      1.089	      0.502	      0.001	      0.001	      0.013	      0.253	
       0.836	      1.112	      1.462	      0.002	      0.004	      0.018	      0.306	
       0.516	      1.196	      0.638	      0.001	      0.003	      0.015	      0.263	
       0.284	      1.588	      0.517	      0.001	      0.002	      0.019	      0.290	
       1.181	      2.697	      1.682	      0.004	      0.005	      0.038	      0.299	
       0.323	      1.478	      0.670	      0.001	      0.002	      0.034	      0.409	
       0.824	      1.102	      1.427	      0.003	      0.002	      0.014	      0.268	
       0.298	      1.198	      0.638	      0.002	      0.002	      0.014	      0.292	
       0.298	      1.359	      0.486	      0.001	      0.002	      0.011	      0.278	
       0.843	      2.822	      1.686	      0.004	      0.008	      0.019	      0.357	
       0.457	      1.179	      0.586	      0.002	      0.002	      0.043	      0.485	
       0.770	      1.129	      1.429	      0.003	      0.003	      0.018	      0.284	
       0.293	      1.169	      0.552	      0.001	      0.002	      0.015	      0.299	
       0.303	      1.430	      0.532	      0.001	      0.002	      0.044	      0.465	
       0.348	      1.211	      0.574	      0.001	      0.001	      0.014	      0.256	
       0.429	      1.192	      0.649	      0.002	      0.003	      0.014	      0.269	
       0.922	      1.125	      1.531	      0.003	      0.005	      0.014	      0.263	
       0.692	      1.127	      0.860	      0.001	      0.001	      0.012	      0.262	
       0.485	      1.386	      0.721	      0.002	      0.002	      0.092	      0.416	
       0.969	      3.003	      1.087	      0.004	      0.004	      0.037	      0.653	
       0.312	      1.173	      0.527	      0.001	      0.001	      0.014	      0.264	
       0.922	      1.117	      1.413	      0.003	      0.002	      0.016	      0.291	
       0.782	      1.229	      0.623	      0.001	      0.002	      0.015	      0.364	
       0.488	      1.278	      0.636	      0.002	      0.005	      0.017	      0.267	
       0.756	      2.906	      1.680	      0.003	      0.005	      0.043	      0.550	
       0.358	      1.152	      0.644	      0.003	      0.002	      0.021	      0.345	
       0.863	      1.165	      1.495	      0.004	      0.004	      0.021	      0.503	
       0.304	      1.140	      0.598	      0.001	      0.003	      0.035	      0.318	
       0.901	      1.143	      0.716	      0.002	      0.001	      0.012	      0.251	
       0.291	      1.243	      0.495	      0.001	      0.001	      0.012	      0.254	
       0.298	      1.132	      0.514	      0.001	      0.004	      0.018	      0.280	
       0.307	      1.080	      0.513	      0.001	      0.001	      0.013	      0.296	
       0.310	      1.189	      0.735	      0.001	      0.004	      0.015	      0.266	
       0.340	      1.147	      0.585	      0.001	      0.001	      0.012	      0.242	
       0.382	      1.167	      0.671	      0.001	      0.001	      0.017	      0.291	
       0.325	      1.219	      0.517	      0.001	      0.002	      0.015	      0.260	
       0.698	      1.325	      0.647	      0.001	      0.002	      0.020	      0.330	
       0.432	      1.226	      0.567	      0.002	      0.002	      0.015	      0.259	
       0.326	      1.313	      0.520	      0.001	      0.003	      0.015	      0.265	
       0.852	      1.111	      0.873	      0.002	      0.001	      0.015	      0.273	
       0.330	      1.085	      0.499	      0.001	      0.001	      0.017	      0.312	
       0.323	      1.303	      0.514	      0.001	      0.003	      0.022	      0.388	
