Values recorded at: 23-Apr-2013 13:11:05

   Collision	    Weather	Deformation	    Buffers	
       0.119	      0.000	      7.152	      0.000	
       0.118	      0.000	      7.174	      0.000	
       0.119	      0.000	      7.237	      0.000	
       0.118	      0.000	      7.108	      0.000	
       0.119	      0.000	      7.072	      0.000	
       0.110	      0.000	      7.069	      0.000	
       0.115	      0.000	      7.246	      0.000	
       0.119	      0.000	      7.345	      0.000	
       0.119	      0.000	      7.294	      0.000	
       0.118	      0.000	      0.042	      0.000	
       0.125	      0.000	      0.045	      0.000	
       0.118	      0.000	      0.050	      0.000	
       0.121	      0.000	      0.050	      0.000	
       0.114	      0.000	      0.049	      0.000	
       0.122	      0.000	      0.049	      0.000	
       0.121	      0.000	      0.045	      0.000	
       0.124	      0.000	      6.459	      0.000	
       0.120	      0.000	      7.194	      0.000	
       0.129	      0.000	      6.958	      0.000	
       0.119	      0.000	      7.001	      0.000	
       0.122	      0.000	      7.103	      0.000	
       0.111	      0.000	      6.942	      0.000	
       0.118	      0.000	      6.932	      0.000	
       0.115	      0.000	      7.014	      0.000	
       0.121	      0.000	      6.938	      0.000	
       0.115	      0.000	      6.806	      0.000	
       0.118	      0.000	      6.989	      0.000	
       0.118	      0.000	      7.090	      0.000	
       0.122	      0.000	      6.966	      0.000	
       0.135	      0.000	      6.974	      0.000	
       0.117	      0.000	      7.190	      0.000	
       0.119	      0.000	      7.045	      0.000	
       0.143	      0.000	      7.086	      0.000	
       0.122	      0.000	      7.007	      0.000	
       0.118	      0.000	      6.783	      0.000	
       0.121	      0.000	      6.732	      0.000	
       0.118	      0.000	      6.818	      0.000	
       0.120	      0.000	      6.768	      0.000	
       0.118	      0.000	      6.840	      0.000	
       0.115	      0.000	      6.596	      0.000	
       0.119	      0.000	      6.935	      0.000	
       0.119	      0.000	      6.635	      0.000	
       0.119	      0.000	      6.627	      0.000	
       0.164	      0.000	      6.622	      0.000	
       0.119	      0.000	      6.803	      0.000	
       0.118	      0.000	      6.687	      0.000	
       0.116	      0.000	      7.151	      0.000	
       0.118	      0.000	      6.756	      0.000	
       0.120	      0.000	      6.791	      0.000	
       0.120	      0.000	      6.609	      0.000	
       0.118	      0.000	      6.930	      0.000	
       0.134	      0.000	      6.784	      0.000	
       0.125	      0.000	      6.638	      0.000	
       0.119	      0.000	      7.119	      0.000	
       0.118	      0.000	      6.790	      0.000	
       0.118	      0.000	      6.688	      0.000	
       0.119	      0.000	      6.888	      0.000	
       0.121	      0.000	      6.585	      0.000	
       0.123	      0.000	      6.722	      0.000	
       0.119	      0.000	      6.607	      0.000	
       0.133	      0.000	      6.554	      0.000	
       0.118	      0.000	      6.600	      0.000	
       0.135	      0.000	      6.571	      0.000	
       0.117	      0.000	      7.021	      0.000	
       0.118	      0.000	      6.575	      0.000	
       0.110	      0.000	      6.524	      0.000	
       0.117	      0.000	      6.759	      0.000	
       0.118	      0.000	      6.929	      0.000	
       0.118	      0.000	      6.878	      0.000	
       0.118	      0.000	      6.711	      0.000	
       0.118	      0.000	      6.700	      0.000	
       0.118	      0.000	      6.840	      0.000	
       0.119	      0.000	      6.760	      0.000	
       0.119	      0.000	      6.641	      0.000	
       0.118	      0.000	      6.656	      0.000	
       0.118	      0.000	      6.679	      0.000	
       0.158	      0.000	      6.608	      0.000	
       0.124	      0.000	      6.605	      0.000	
       0.118	      0.000	      6.584	      0.000	
       0.119	      0.000	      6.561	      0.000	
       0.126	      0.000	      6.728	      0.000	
       0.118	      0.000	      6.623	      0.000	
       0.118	      0.000	      6.610	      0.000	
       0.127	      0.000	      6.614	      0.000	
       0.117	      0.000	      6.644	      0.000	
       0.135	      0.000	      6.591	      0.000	
       0.118	      0.000	      6.592	      0.000	
       0.111	      0.000	      6.791	      0.000	
       0.117	      0.000	      6.763	      0.000	
       0.120	      0.000	      6.682	      0.000	
       0.114	      0.000	      6.850	      0.000	
 
