Values recorded at: 19-Nov-2012 20:36:08

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

       0.125	      7.176	      0.352	      2.290	      0.017	      0.426	
       0.121	      7.365	      0.351	      2.410	      0.017	      0.424	
       0.123	      7.284	      0.351	      2.147	      0.018	      0.417	
       0.128	      6.991	      0.327	      1.992	      0.018	      0.384	
       0.125	      6.910	      0.301	      1.750	      0.021	      0.458	
       0.122	      7.217	      0.355	      1.860	      0.018	      0.455	
       0.121	      7.135	      0.360	      1.557	      0.018	      0.427	
       0.121	      7.286	      0.002	      1.587	      0.017	      0.449	
       0.121	      7.008	      0.002	      1.362	      0.018	      0.417	
       0.122	      6.952	      0.002	      1.168	      0.021	      0.433	
       0.123	      7.120	      0.002	      1.197	      0.019	      0.434	
       0.123	      7.187	      0.002	      1.138	      0.017	      0.443	
       0.125	      7.169	      0.002	      1.090	      0.017	      0.368	
       0.118	      7.095	      0.002	      0.915	      0.017	      0.564	
       0.119	      7.134	      0.001	      0.783	      0.017	      0.426	
       0.122	      6.807	      0.002	      0.543	      0.019	      0.444	
       0.122	      7.170	      0.001	      0.528	      0.030	      0.443	
       0.119	      7.190	      0.001	      0.470	      0.016	      0.439	
       0.118	      7.204	      0.002	      0.302	      0.017	      0.434	
       0.118	      6.913	      0.002	      0.131	      0.018	      0.434	
       0.125	      6.759	      0.001	      0.000	      0.018	      0.446	
       0.118	      7.164	      0.001	      0.000	      0.017	      0.430	
       0.173	      7.275	      0.000	      0.000	      0.017	      0.453	
       0.124	      7.200	      0.000	      0.000	      0.016	      0.428	
       0.115	      7.355	      0.000	      0.000	      0.016	      0.425	
       0.115	      7.250	      0.000	      0.000	      0.025	      0.424	
       0.129	      7.302	      0.000	      0.000	      0.016	      0.423	
       0.124	      7.129	      0.000	      0.000	      0.017	      0.418	
       0.129	      6.961	      0.000	      0.000	      0.019	      0.456	
       0.123	      7.131	      0.000	      0.000	      0.018	      0.451	
       0.127	      6.945	      0.000	      0.000	      0.017	      0.449	
       0.183	      7.435	      0.000	      0.000	      0.018	      0.448	
       0.125	      7.128	      0.000	      0.000	      0.016	      0.435	
       0.122	      7.065	      0.000	      0.000	      0.015	      0.428	
       0.123	      6.904	      0.000	      0.000	      0.017	      0.426	
       0.126	      7.037	      0.000	      0.000	      0.014	      0.423	
       0.125	      7.147	      0.000	      0.000	      0.016	      0.423	
       0.433	      7.087	      0.000	      0.000	      0.012	      0.422	
       0.439	      7.025	      0.000	      0.000	      0.012	      0.415	
       0.429	      7.012	      0.000	      0.000	      0.011	      0.424	
       0.423	      6.928	      0.000	      0.000	      0.014	      0.446	
       0.448	      6.807	      0.000	      0.000	      0.012	      0.444	
       0.414	      6.940	      0.000	      0.000	      0.012	      0.443	
       0.430	      6.807	      0.000	      0.000	      0.011	      0.446	
       0.429	      7.067	      0.000	      0.001	      0.012	      0.476	
       0.410	      7.017	      0.000	      0.001	      0.011	      0.495	
       0.428	      7.112	      0.000	      0.001	      0.012	      0.481	
       0.466	      6.809	      0.000	      0.001	      0.012	      0.543	
       0.406	      6.854	      0.000	      0.000	      0.012	      0.484	
       0.444	      7.003	      0.000	      0.001	      0.012	      0.641	
       0.421	      7.092	      0.000	      0.001	      0.013	      0.506	
       0.426	      7.027	      0.000	      0.001	      0.012	      0.484	
       0.413	      7.049	      0.000	      0.000	      0.012	      0.496	
       0.405	      6.895	      0.000	      0.001	      0.012	      0.481	
       0.422	      7.063	      0.000	      0.001	      0.012	      0.485	
       0.414	      7.024	      0.000	      0.001	      0.015	      0.497	
       0.424	      7.133	      0.000	      0.001	      0.012	      0.484	
       0.415	      7.067	      0.000	      0.001	      0.012	      0.496	
       0.401	      7.068	      0.000	      0.001	      0.012	      0.477	
