Values recorded at: 05-Dec-2012 21:16:04

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

      10.025	      0.835	      0.000	      0.000	      0.003	      0.323	
      10.703	      0.780	      0.000	      0.000	      0.003	      0.265	
      11.412	      0.746	      0.000	      0.000	      0.003	      0.290	
      10.466	      0.880	      0.001	      0.000	      0.004	      0.336	
       9.516	      0.849	      0.001	      0.000	      0.003	      0.297	
      10.001	      0.741	      0.166	      0.000	      0.003	      0.274	
      12.187	      0.754	      0.162	      0.000	      0.004	      0.266	
       9.844	      0.922	      0.160	      0.000	      0.004	      0.358	
      11.676	      0.863	      0.201	      0.000	      0.006	      0.573	
       9.527	      0.743	      0.174	      0.000	      0.003	      0.271	
      10.937	      0.847	      0.162	      0.000	      0.003	      0.366	
      10.111	      0.730	      0.162	      0.000	      0.004	      0.315	
      12.186	      0.749	      0.161	      0.000	      0.004	      0.269	
       9.870	      0.738	      0.161	      0.000	      0.004	      0.267	
      10.100	      0.789	      0.156	      0.000	      0.003	      0.292	
      11.158	      0.747	      0.161	      0.000	      0.003	      0.266	
       9.960	      0.998	      0.181	      0.000	      0.004	      0.475	
      10.937	      1.111	      0.190	      0.000	      0.008	      0.367	
      10.050	      0.746	      0.161	      0.000	      0.004	      0.270	
      10.001	      0.827	      0.163	      0.000	      0.004	      0.319	
      11.285	      0.748	      0.161	      0.000	      0.003	      0.275	
      10.450	      0.749	      0.179	      0.000	      0.004	      0.294	
      10.041	      0.869	      0.162	      0.000	      0.003	      0.276	
      10.423	      0.759	      0.162	      0.000	      0.004	      0.265	
      11.069	      0.809	      0.161	      0.000	      0.003	      0.317	
      11.529	      0.839	      0.229	      0.000	      0.003	      0.355	
       9.913	      0.744	      0.161	      0.000	      0.003	      0.267	
      10.536	      0.746	      0.160	      0.000	      0.004	      0.318	
      10.609	      0.754	      0.162	      0.000	      0.003	      0.276	
      10.956	      0.907	      0.163	      0.000	      0.003	      0.376	
      10.971	      1.279	      0.346	      0.000	      0.007	      0.486	
       9.982	      0.755	      0.160	      0.000	      0.004	      0.326	
      11.299	      0.742	      0.156	      0.000	      0.004	      0.363	
      11.330	      0.749	      0.160	      0.000	      0.004	      0.275	
      11.291	      1.218	      0.164	      0.000	      0.004	      0.280	
       9.635	      0.759	      0.162	      0.000	      0.004	      0.277	
       9.717	      0.787	      0.162	      0.000	      0.004	      0.296	
      10.781	      0.772	      0.161	      0.000	      0.004	      0.269	
       9.961	      0.954	      0.162	      0.000	      0.003	      0.266	
       9.587	      0.769	      0.160	      0.000	      0.003	      0.263	
       9.618	      0.695	      0.280	      0.000	      0.006	      0.366	
      10.362	      0.740	      0.171	      0.000	      0.003	      0.257	
      10.204	      0.907	      0.217	      0.001	      0.010	      0.493	
      11.047	      1.533	      0.195	      0.000	      0.010	      0.482	
      10.664	      0.753	      0.161	      0.000	      0.004	      0.268	
      10.568	      0.731	      0.162	      0.000	      0.004	      0.447	
      11.359	      0.748	      0.156	      0.000	      0.004	      0.311	
      11.019	      0.744	      0.161	      0.000	      0.003	      0.267	
