Values recorded at: 05-Dec-2012 22:52:46

       World	   Vehicles	      Items	  Particles	     Bounds	        HUD	

      10.488	      1.016	      0.000	      0.040	      0.020	      0.594	
       9.773	      0.921	      0.000	      0.038	      0.019	      0.508	
       9.888	      0.918	      0.000	      0.040	      0.018	      0.518	
      10.959	      0.981	      0.000	      0.035	      0.046	      0.545	
       9.928	      0.910	      0.000	      0.026	      0.018	      0.494	
       9.945	      0.979	      0.000	      0.030	      0.021	      0.576	
      10.650	      0.911	      0.000	      0.028	      0.018	      0.519	
      11.331	      0.962	      0.000	      0.022	      0.019	      0.676	
      10.036	      0.928	      0.000	      0.000	      0.018	      0.516	
      10.991	      0.927	      0.000	      0.000	      0.018	      0.508	
      11.211	      0.948	      0.000	      0.000	      0.055	      0.684	
      11.332	      0.965	      0.000	      0.000	      0.017	      0.613	
       9.979	      0.950	      0.000	      0.000	      0.015	      0.505	
      10.123	      1.422	      0.000	      0.000	      0.019	      0.774	
       9.855	      0.921	      0.000	      0.000	      0.017	      0.508	
      10.008	      0.990	      0.000	      0.000	      0.019	      0.539	
      10.205	      1.101	      0.000	      0.000	      0.017	      0.508	
      10.349	      0.948	      0.001	      0.000	      0.018	      0.854	
      11.173	      1.074	      0.000	      0.000	      0.018	      0.518	
      10.016	      0.913	      0.000	      0.000	      0.017	      0.502	
       9.894	      0.910	      0.000	      0.000	      0.016	      0.557	
      10.600	      1.104	      0.000	      0.000	      0.018	      0.623	
       9.584	      0.913	      0.000	      0.000	      0.017	      0.516	
      10.112	      1.094	      0.000	      0.000	      0.018	      0.512	
      10.007	      0.919	      0.000	      0.000	      0.017	      0.505	
       9.619	      0.945	      0.000	      0.000	      0.017	      0.502	
      10.180	      0.911	      0.000	      0.000	      0.017	      0.510	
      10.139	      0.919	      0.000	      0.000	      0.017	      0.503	
      10.481	      0.911	      0.000	      0.000	      0.016	      0.792	
      11.070	      1.143	      0.001	      0.000	      0.024	      0.559	
      10.677	      1.031	      0.000	      0.000	      0.027	      0.862	
      10.901	      0.930	      0.000	      0.000	      0.018	      0.511	
      10.870	      0.960	      0.000	      0.000	      0.017	      0.513	
      10.066	      1.004	      0.000	      0.000	      0.019	      0.904	
      10.594	      0.966	      0.000	      0.000	      0.017	      0.513	
       9.830	      0.940	      0.000	      0.000	      0.017	      0.845	
      10.678	      0.936	      0.000	      0.000	      0.029	      0.931	
       9.971	      0.929	      0.000	      0.000	      0.017	      0.490	
       9.818	      0.972	      0.000	      0.000	      0.019	      0.624	
      10.006	      1.027	      0.000	      0.000	      0.019	      0.565	
      10.058	      0.918	      0.000	      0.000	      0.017	      0.504	
      10.999	      0.904	      0.000	      0.000	      0.016	      0.626	
      10.838	      0.911	      0.000	      0.000	      0.016	      0.505	
       9.803	      0.916	      0.000	      0.000	      0.017	      0.498	
      10.636	      0.928	      0.000	      0.000	      0.017	      0.509	
       9.796	      0.958	      0.000	      0.000	      0.016	      0.547	
      10.067	      1.097	      0.000	      0.000	      0.018	      0.528	
      10.471	      0.941	      0.000	      0.000	      0.016	      0.581	
       9.515	      0.909	      0.000	      0.000	      0.018	      0.510	
      10.362	      0.931	      0.000	      0.000	      0.017	      0.516	
      10.565	      0.926	      0.000	      0.000	      0.017	      0.555	
      10.960	      1.704	      0.000	      0.000	      0.023	      1.078	
      10.444	      1.147	      0.000	      0.000	      0.018	      0.523	
       9.631	      0.956	      0.000	      0.000	      0.019	      0.547	
      10.126	      0.916	      0.000	      0.000	      0.019	      0.505	
      10.338	      0.924	      0.000	      0.000	      0.017	      0.505	
       9.909	      0.914	      0.000	      0.000	      0.017	      0.622	
      10.253	      0.920	      0.000	      0.000	      0.016	      0.541	
       9.787	      0.937	      0.000	      0.000	      0.016	      0.501	
      10.882	      1.223	      0.000	      0.001	      0.021	      0.529	
      10.775	      0.913	      0.000	      0.000	      0.016	      0.505	
      10.961	      0.920	      0.000	      0.000	      0.017	      0.646	
      10.147	      0.923	      0.000	      0.000	      0.017	      0.567	
       9.818	      0.939	      0.000	      0.000	      0.017	      0.499	
      11.279	      0.940	      0.000	      0.000	      0.017	      0.580	
      10.198	      0.948	      0.000	      0.000	      0.017	      0.501	
       9.841	      0.929	      0.000	      0.000	      0.017	      0.703	
      10.269	      0.921	      0.000	      0.000	      0.017	      0.493	
       9.808	      0.921	      0.000	      0.000	      0.016	      0.498	
      10.115	      0.976	      0.000	      0.000	      0.018	      0.513	
       9.817	      0.942	      0.000	      0.000	      0.018	      0.510	
       9.998	      0.939	      0.000	      0.000	      0.017	      0.547	
      10.897	      1.340	      0.000	      0.000	      0.018	      0.715	
       9.814	      0.922	      0.000	      0.000	      0.016	      0.493	
       9.789	      1.063	      0.001	      0.000	      0.040	      0.502	
      10.603	      0.916	      0.000	      0.000	      0.018	      0.498	
      10.730	      0.928	      0.000	      0.000	      0.017	      0.558	
      10.974	      1.170	      0.001	      0.000	      0.029	      0.779	
       9.701	      1.032	      0.000	      0.000	      0.023	      0.647	
       9.632	      0.895	      0.000	      0.000	      0.016	      0.526	
      10.842	      0.918	      0.000	      0.000	      0.017	      0.500	
      10.571	      0.912	      0.000	      0.000	      0.016	      0.560	
      11.007	      0.942	      0.000	      0.000	      0.017	      0.516	
       9.994	      1.000	      0.000	      0.000	      0.019	      0.560	
      10.768	      0.943	      0.000	      0.000	      0.017	      0.571	
      11.161	      0.916	      0.000	      0.000	      0.017	      0.501	
      10.413	      0.974	      0.000	      0.000	      0.016	      0.505	
      10.000	      1.125	      0.000	      0.000	      0.019	      0.523	
       9.946	      0.945	      0.000	      0.000	      0.017	      0.626	
       9.901	      0.925	      0.000	      0.176	      0.019	      0.554	
      10.073	      0.960	      0.000	      0.181	      0.019	      0.646	
       9.666	      0.917	      0.000	      0.169	      0.018	      0.523	
       9.790	      0.960	      0.000	      0.171	      0.032	      0.843	
      10.983	      0.913	      0.000	      0.170	      0.019	      0.522	
      10.032	      1.013	      0.000	      0.292	      0.019	      0.635	
      10.244	      0.917	      0.000	      0.180	      0.028	      0.650	
      10.664	      1.027	      0.000	      0.231	      0.019	      0.711	
      11.217	      0.944	      0.000	      0.174	      0.019	      0.570	
       9.715	      0.916	      0.000	      0.264	      0.019	      0.674	
      10.691	      1.239	      0.000	      0.238	      0.021	      0.639	
      10.572	      1.016	      0.000	      0.242	      0.020	      0.883	
       9.818	      0.904	      0.000	      0.169	      0.017	      0.720	
      10.460	      0.944	      0.000	      0.171	      0.018	      0.616	
      10.452	      0.913	      0.000	      0.171	      0.021	      0.516	
      11.058	      1.155	      0.000	      0.247	      0.022	      0.695	
      11.395	      1.252	      0.000	      0.289	      0.020	      0.626	
      11.216	      1.046	      0.000	      0.233	      0.019	      0.750	
      11.741	      1.073	      0.000	      0.171	      0.018	      0.590	
      10.160	      0.940	      0.000	      0.171	      0.020	      0.539	
      10.044	      1.052	      0.000	      0.169	      0.020	      0.563	
       9.849	      0.922	      0.000	      0.170	      0.019	      0.526	
       9.830	      1.184	      0.000	      0.169	      0.018	      0.536	
      10.568	      0.907	      0.000	      0.167	      0.019	      0.516	
      10.045	      0.909	      0.000	      0.166	      0.018	      0.518	
       9.905	      1.027	      0.000	      0.176	      0.020	      0.788	
      10.381	      1.141	      0.000	      0.195	      0.020	      0.547	
       9.702	      0.911	      0.000	      0.169	      0.018	      0.525	
      10.340	      0.970	      0.000	      0.274	      0.018	      0.608	
      10.115	      0.904	      0.000	      0.171	      0.019	      0.650	
       9.835	      1.029	      0.000	      0.316	      0.020	      0.689	
      10.529	      0.997	      0.001	      0.390	      0.020	      0.571	
       9.775	      0.910	      0.000	      0.185	      0.018	      0.515	
      10.482	      0.929	      0.000	      0.168	      0.019	      0.529	
       9.958	      0.909	      0.000	      0.172	      0.018	      0.525	
      11.280	      1.031	      0.000	      0.307	      0.065	      0.791	
      10.506	      0.932	      0.000	      0.178	      0.018	      0.599	
      10.094	      0.928	      0.000	      0.232	      0.065	      0.680	
      11.428	      1.501	      0.000	      0.287	      0.069	      0.583	
      10.113	      0.962	      0.000	      0.168	      0.018	      0.525	
      11.237	      1.213	      0.000	      0.180	      0.067	      0.795	
      11.344	      1.223	      0.000	      0.172	      0.020	      0.523	
      11.167	      1.184	      0.000	      0.172	      0.062	      0.839	
      11.494	      0.934	      0.000	      0.250	      0.018	      0.733	
       9.720	      0.917	      0.000	      0.176	      0.019	      0.669	
      11.708	      1.111	      0.000	      0.170	      0.019	      0.720	
      11.170	      0.956	      0.000	      0.174	      0.018	      0.678	
       9.804	      0.938	      0.000	      0.199	      0.021	      0.681	
       9.883	      0.916	      0.000	      0.176	      0.019	      0.531	
       9.790	      0.918	      0.000	      0.173	      0.018	      0.517	
      10.721	      0.947	      0.001	      0.177	      0.019	      0.533	
      10.148	      0.914	      0.000	      0.174	      0.018	      0.527	
       9.895	      1.128	      0.000	      0.178	      0.018	      0.529	
      10.694	      0.911	      0.000	      0.164	      0.019	      0.528	
      10.225	      0.923	      0.000	      0.169	      0.018	      0.533	
      10.573	      1.340	      0.000	      0.173	      0.029	      0.619	
      10.011	      1.129	      0.000	      0.174	      0.019	      0.577	
       9.860	      0.931	      0.000	      0.171	      0.062	      0.675	
      10.506	      0.928	      0.000	      0.180	      0.018	      0.589	
      10.169	      0.924	      0.000	      0.175	      0.018	      0.573	
      10.159	      1.155	      0.001	      0.225	      0.024	      0.579	
       9.616	      1.011	      0.000	      0.178	      0.031	      0.766	
       9.760	      0.923	      0.000	      0.176	      0.018	      0.517	
      10.686	      0.917	      0.000	      0.171	      0.019	      0.522	
      10.535	      0.915	      0.000	      0.171	      0.018	      0.798	
      10.386	      1.207	      0.000	      0.168	      0.021	      0.540	
       9.590	      0.920	      0.000	      0.204	      0.019	      0.606	
       9.905	      0.912	      0.000	      0.173	      0.018	      0.518	
      11.009	      0.919	      0.000	      0.176	      0.021	      0.533	
      10.069	      0.918	      0.000	      0.174	      0.031	      0.570	
      10.317	      0.924	      0.000	      0.168	      0.024	      0.722	
       9.908	      0.937	      0.000	      0.178	      0.019	      0.546	
      10.159	      0.943	      0.000	      0.169	      0.018	      0.617	
      11.569	      0.913	      0.000	      0.171	      0.019	      0.528	
      10.928	      0.953	      0.000	      0.176	      0.024	      0.530	
       9.837	      1.042	      0.000	      0.175	      0.021	      0.603	
      11.714	      1.011	      0.000	      0.310	      0.062	      0.735	
      11.272	      0.886	      0.000	      0.307	      0.018	      0.766	
      11.173	      0.916	      0.000	      0.175	      0.019	      0.524	
      10.201	      0.971	      0.000	      0.188	      0.027	      0.541	
      13.495	      0.927	      0.000	      0.243	      0.020	      0.762	
      10.997	      1.093	      0.000	      0.216	      0.095	      0.548	
      10.322	      0.984	      0.000	      0.330	      0.066	      0.786	
      10.731	      0.915	      0.001	      0.173	      0.018	      0.524	
      11.422	      0.925	      0.000	      0.188	      0.020	      0.571	
      10.506	      0.918	      0.000	      0.200	      0.020	      0.574	
       9.796	      0.919	      0.000	      0.174	      0.019	      0.536	
      10.270	      1.222	      0.000	      0.187	      0.039	      0.668	
      10.067	      0.913	      0.000	      0.174	      0.019	      0.678	
      11.338	      0.907	      0.000	      0.172	      0.018	      0.817	
      12.115	      0.990	      0.000	      0.173	      0.019	      0.773	
      11.421	      0.934	      0.000	      0.186	      0.018	      0.843	
      11.852	      0.913	      0.000	      0.171	      0.018	      0.523	
       9.855	      0.999	      0.000	      0.175	      0.020	      0.871	
       9.807	      0.909	      0.000	      0.176	      0.021	      0.737	
      10.641	      0.942	      0.000	      0.177	      0.028	      0.564	
       9.981	      0.906	      0.000	      0.173	      0.060	      0.810	
      11.458	      1.427	      0.000	      0.287	      0.024	      0.564	
      11.100	      1.189	      0.000	      0.248	      0.035	      0.776	
      10.633	      1.392	      0.000	      0.328	      0.044	      0.637	
      11.171	      0.969	      0.000	      0.177	      0.019	      0.530	
      11.460	      0.918	      0.000	      0.201	      0.019	      0.809	
      11.332	      0.926	      0.000	      0.171	      0.019	      0.532	
       9.771	      0.950	      0.000	      0.181	      0.021	      0.513	
      10.458	      1.186	      0.000	      0.202	      0.020	      0.522	
       9.618	      0.916	      0.000	      0.172	      0.019	      0.516	
      11.429	      0.972	      0.000	      0.171	      0.021	      0.750	
      11.173	      0.943	      0.000	      0.171	      0.018	      0.514	
      10.455	      0.966	      0.000	      0.159	      0.019	      0.842	
      11.684	      0.917	      0.000	      0.164	      0.019	      0.508	
      10.802	      1.055	      0.000	      0.160	      0.036	      0.546	
      11.092	      0.926	      0.000	      0.218	      0.023	      0.731	
      10.124	      1.035	      0.000	      0.149	      0.019	      0.511	
      10.292	      0.951	      0.000	      0.160	      0.018	      0.495	
      11.719	      0.975	      0.000	      0.145	      0.065	      0.691	
      10.514	      1.058	      0.001	      0.141	      0.021	      0.652	
      11.232	      1.000	      0.000	      0.181	      0.040	      1.078	
       9.737	      0.932	      0.000	      0.136	      0.019	      0.519	
       9.793	      0.916	      0.000	      0.134	      0.019	      0.661	
      11.435	      0.913	      0.000	      0.131	      0.020	      0.518	
      11.294	      1.155	      0.000	      0.127	      0.019	      0.516	
      11.352	      1.580	      0.000	      0.195	      0.067	      0.538	
      10.796	      0.925	      0.000	      0.125	      0.018	      0.524	
       9.786	      0.919	      0.000	      0.119	      0.021	      0.578	
      10.178	      0.908	      0.000	      0.116	      0.019	      0.555	
      10.220	      1.281	      0.000	      0.188	      0.019	      0.715	
      11.420	      1.137	      0.001	      0.134	      0.040	      0.898	
      10.019	      0.948	      0.000	      0.133	      0.018	      0.494	
      10.136	      1.007	      0.000	      0.106	      0.021	      0.670	
      10.315	      0.910	      0.000	      0.107	      0.018	      0.506	
       9.650	      1.157	      0.000	      0.109	      0.031	      0.661	
       9.788	      0.905	      0.000	      0.095	      0.019	      0.665	
       9.964	      0.922	      0.000	      0.095	      0.019	      0.508	
      10.122	      0.908	      0.000	      0.091	      0.018	      0.488	
      11.438	      0.907	      0.000	      0.088	      0.019	      0.724	
      11.422	      1.048	      0.000	      0.083	      0.020	      0.956	
      11.058	      0.924	      0.000	      0.084	      0.019	      0.524	
       9.670	      0.929	      0.000	      0.085	      0.018	      0.509	
      10.533	      0.943	      0.000	      0.077	      0.018	      0.506	
      10.713	      0.907	      0.000	      0.071	      0.019	      0.515	
       9.741	      1.167	      0.000	      0.072	      0.018	      0.505	
      10.148	      0.937	      0.001	      0.071	      0.019	      0.710	
      10.190	      0.922	      0.000	      0.067	      0.018	      0.510	
      11.246	      0.996	      0.000	      0.060	      0.018	      0.760	
      11.352	      0.965	      0.001	      0.062	      0.019	      0.513	
      10.235	      1.099	      0.000	      0.063	      0.018	      0.542	
      11.382	      0.925	      0.000	      0.070	      0.036	      1.045	
