Values recorded at: 09-Apr-2013 16:33:37

   Collision	    Weather	Deformation	    Buffers	

       0.122	      0.000	      1.525	      0.000	

       0.117	      0.000	      1.565	      0.000	
       0.115	      0.000	      1.605	      0.000	
       0.117	      0.000	      1.672	      0.000	
       0.115	      0.000	      1.616	      0.000	
       0.120	      0.000	      1.563	      0.000	
       0.115	      0.000	      1.534	      0.000	
       0.118	      0.000	      1.756	      0.000	
       0.117	      0.000	      1.579	      0.000	
       0.118	      0.000	      1.566	      0.000	
       0.114	      0.000	      1.693	      0.000	
       0.165	      0.000	      1.549	      0.000	
       0.118	      0.000	      1.522	      0.000	
       0.116	      0.000	      1.578	      0.000	
       0.119	      0.000	      1.552	      0.000	
       0.116	      0.000	      1.430	      0.000	
       0.124	      0.000	      1.554	      0.000	
       0.121	      0.000	      1.712	      0.000	
       0.115	      0.000	      1.524	      0.000	
       0.116	      0.000	      1.473	      0.000	
       0.115	      0.000	      1.445	      0.000	
       0.118	      0.000	      1.481	      0.000	
       0.118	      0.000	      1.392	      0.000	
       0.115	      0.000	      1.401	      0.000	
       0.161	      0.000	      1.605	      0.000	
       0.155	      0.000	      1.697	      0.000	
       0.118	      0.000	      1.398	      0.000	
       0.124	      0.000	      1.477	      0.000	
       0.116	      0.000	      1.432	      0.000	
       0.130	      0.000	      1.439	      0.000	
       0.115	      0.000	      1.439	      0.000	
       0.124	      0.000	      1.422	      0.000	
       0.115	      0.000	      1.445	      0.000	
       0.116	      0.000	      1.368	      0.000	
       0.116	      0.000	      1.425	      0.000	
       0.117	      0.000	      1.376	      0.000	
       0.116	      0.000	      1.337	      0.000	
       0.154	      0.000	      1.415	      0.000	
       0.117	      0.000	      1.407	      0.000	
       0.114	      0.000	      1.378	      0.000	
       0.116	      0.000	      1.386	      0.000	
       0.115	      0.000	      1.554	      0.000	
       0.115	      0.000	      1.442	      0.000	
       0.118	      0.000	      1.434	      0.000	
       0.116	      0.000	      1.572	      0.000	
       0.116	      0.000	      1.431	      0.000	
       0.118	      0.000	      1.738	      0.000	
       0.117	      0.000	      1.468	      0.000	
       0.119	      0.000	      1.453	      0.000	
       0.118	      0.000	      1.517	      0.000	
       0.116	      0.000	      1.456	      0.000	
       0.116	      0.000	      1.458	      0.000	
       0.119	      0.000	      1.450	      0.000	
       0.118	      0.000	      1.511	      0.000	
       0.151	      0.000	      1.536	      0.000	
       0.117	      0.000	      1.426	      0.000	
       0.131	      0.000	      1.397	      0.000	
       0.116	      0.000	      1.445	      0.000	
       0.120	      0.000	      1.502	      0.000	
       0.117	      0.000	      1.470	      0.000	
       0.120	      0.000	      1.458	      0.000	
       0.118	      0.000	      1.525	      0.000	
       0.121	      0.000	      1.464	      0.000	
       0.115	      0.000	      1.458	      0.000	
       0.118	      0.000	      1.516	      0.000	
       0.117	      0.000	      1.426	      0.000	
       0.115	      0.000	      1.460	      0.000	
       0.116	      0.000	      1.622	      0.000	
       0.115	      0.000	      1.458	      0.000	
       0.115	      0.000	      1.563	      0.000	
       0.116	      0.000	      1.575	      0.000	
       0.117	      0.000	      1.594	      0.000	
       0.115	      0.000	      1.443	      0.000	
       0.117	      0.000	      1.483	      0.000	
       0.120	      0.000	      1.612	      0.000	
       0.115	      0.000	      1.495	      0.000	
       0.168	      0.000	      1.567	      0.000	
       0.117	      0.000	      1.531	      0.000	
       0.115	      0.000	      1.439	      0.000	
       0.116	      0.000	      1.441	      0.000	
       0.169	      0.000	      1.547	      0.000	
       0.114	      0.000	      1.586	      0.000	
       0.117	      0.000	      1.579	      0.000	
       0.115	      0.000	      1.434	      0.000	
       0.116	      0.000	      1.459	      0.000	
       0.162	      0.000	      1.516	      0.000	
       0.116	      0.000	      1.468	      0.000	
       0.120	      0.000	      1.566	      0.000	
       0.115	      0.000	      1.457	      0.000	
       0.115	      0.000	      1.708	      0.000	
       0.115	      0.000	      1.589	      0.000	
       0.190	      0.000	      1.826	      0.000	
       0.116	      0.000	      1.501	      0.000	
       0.115	      0.000	      1.491	      0.000	
       0.117	      0.000	      1.691	      0.000	
       0.115	      0.000	      1.495	      0.000	
       0.115	      0.000	      1.443	      0.000	
       0.170	      0.000	      1.681	      0.000	
       0.121	      0.000	      1.542	      0.000	
       0.117	      0.000	      1.630	      0.000	
       0.116	      0.000	      1.672	      0.000	
       0.117	      0.000	      1.661	      0.000	
       0.115	      0.000	      1.635	      0.000	
       0.169	      0.000	      1.647	      0.000	
       0.115	      0.000	      1.654	      0.000	
       0.115	      0.000	      1.605	      0.000	
       0.140	      0.000	      1.708	      0.000	
       0.117	      0.000	      1.516	      0.000	
       0.116	      0.000	      1.502	      0.000	
       0.120	      0.000	      1.733	      0.000	
       0.116	      0.000	      1.499	      0.000	
       0.114	      0.000	      1.491	      0.000	
       0.118	      0.000	      1.758	      0.000	
       0.116	      0.000	      1.807	      0.000	
       0.115	      0.000	      1.687	      0.000	
       0.117	      0.000	      1.770	      0.000	
       0.135	      0.000	      1.584	      0.000	
       0.117	      0.000	      1.508	      0.000	
       0.120	      0.000	      1.720	      0.000	
       0.113	      0.000	      1.652	      0.000	
       0.118	      0.000	      1.596	      0.000	
       0.188	      0.000	      1.761	      0.000	
       0.118	      0.000	      1.440	      0.000	
       0.119	      0.000	      1.755	      0.000	
       0.118	      0.000	      1.450	      0.000	
       0.115	      0.000	      1.634	      0.000	
       0.117	      0.000	      1.543	      0.000	
       0.140	      0.000	      1.520	      0.000	
       0.118	      0.000	      1.560	      0.000	
       0.118	      0.000	      1.720	      0.000	
       0.117	      0.000	      1.468	      0.000	
       0.117	      0.000	      1.467	      0.000	
       0.117	      0.000	      1.447	      0.000	
       0.115	      0.000	      1.680	      0.000	
       0.118	      0.000	      1.585	      0.000	
       0.125	      0.000	      1.577	      0.000	
       0.117	      0.000	      1.525	      0.000	
       0.114	      0.000	      1.714	      0.000	
       0.115	      0.000	      1.563	      0.000	
       0.115	      0.000	      1.431	      0.000	
       0.114	      0.000	      1.643	      0.000	
       0.138	      0.000	      1.514	      0.000	
       0.117	      0.000	      1.794	      0.000	
       0.132	      0.000	      1.497	      0.000	
       0.118	      0.000	      1.482	      0.000	
       0.114	      0.000	      1.423	      0.000	
       0.157	      0.000	      1.547	      0.000	
       0.118	      0.000	      1.595	      0.000	
       0.116	      0.000	      1.465	      0.000	
       0.118	      0.000	      1.607	      0.000	
       0.122	      0.000	      1.472	      0.000	
       0.118	      0.000	      1.476	      0.000	
       0.144	      0.000	      1.601	      0.000	
       0.116	      0.000	      1.407	      0.000	
       0.118	      0.000	      1.682	      0.000	
       0.116	      0.000	      1.532	      0.000	
       0.116	      0.000	      1.526	      0.000	
       0.118	      0.000	      1.822	      0.000	
       0.117	      0.000	      1.485	      0.000	
       0.166	      0.000	      1.439	      0.000	
       0.154	      0.000	      1.544	      0.000	
       0.117	      0.000	      1.619	      0.000	
       0.117	      0.000	      1.438	      0.000	
       0.118	      0.000	      1.527	      0.000	
       0.115	      0.000	      1.509	      0.000	
