Values recorded at: 04-Mar-2013 23:41:42

     Terrain	    Foliage	   Vehicles	      Items	  Particles	     Bounds	        HUD	
       0.590	      3.135	      1.733	      0.003	      0.001	      0.616	      0.763	
       0.568	      3.072	      1.560	      0.003	      0.001	      0.665	      0.762	
       0.334	      1.860	      0.951	      0.002	      0.000	      0.350	      0.442	
       0.327	      1.818	      0.907	      0.002	      0.001	      0.344	      0.436	
       0.327	      1.826	      0.999	      0.002	      0.001	      0.370	      0.457	
       0.331	      1.950	      0.929	      0.002	      0.001	      0.705	      0.597	
       0.370	      1.864	      1.087	      0.002	      0.001	      0.351	      0.449	
       0.327	      1.827	      1.090	      0.002	      0.001	      0.351	      0.437	
       0.342	      1.726	      0.951	      0.002	      0.001	      0.375	      0.490	
       0.325	      1.826	      0.937	      0.002	      0.000	      0.357	      0.437	
       0.349	      1.982	      0.901	      0.002	      0.000	      0.343	      0.433	
       0.350	      1.811	      0.973	      0.002	      0.001	      0.359	      0.474	
       0.363	      1.917	      0.951	      0.002	      0.001	      0.379	      0.477	
       0.386	      1.879	      0.944	      0.002	      0.001	      0.360	      0.455	
       0.345	      1.768	      0.960	      0.002	      0.001	      0.353	      0.449	
       0.329	      1.750	      0.922	      0.002	      0.001	      0.373	      0.492	
       0.328	      1.860	      0.916	      0.002	      0.001	      0.348	      0.443	
       0.348	      1.869	      0.978	      0.002	      0.001	      0.352	      0.444	
       0.375	      1.826	      0.958	      0.002	      0.001	      0.354	      0.443	
       0.346	      1.838	      0.930	      0.002	      0.001	      0.347	      0.443	
       0.331	      1.888	      0.916	      0.002	      0.001	      0.344	      0.440	
       0.325	      1.786	      0.939	      0.002	      0.001	      0.357	      0.451	
       0.338	      1.736	      0.923	      0.002	      0.001	      0.368	      0.488	
       0.364	      1.735	      1.023	      0.002	      0.001	      0.347	      0.519	
       0.352	      2.019	      1.114	      0.002	      0.001	      0.358	      0.473	
       0.338	      1.833	      0.922	      0.002	      0.001	      0.352	      0.440	
       0.343	      1.682	      0.806	      0.002	      0.001	      0.343	      0.394	
       0.338	      1.876	      0.905	      0.002	      0.000	      0.345	      0.444	
       0.370	      1.753	      0.937	      0.002	      0.001	      0.343	      0.439	
       0.325	      1.989	      1.001	      0.002	      0.001	      0.400	      0.549	
       0.355	      1.880	      0.950	      0.002	      0.001	      0.363	      0.455	
       0.331	      1.917	      0.906	      0.002	      0.001	      0.344	      0.445	
       0.325	      1.942	      0.926	      0.001	      0.001	      0.343	      0.458	
       0.331	      1.826	      0.895	      0.002	      0.001	      0.373	      0.450	
       0.322	      1.825	      0.901	      0.001	      0.001	      0.346	      0.473	
       0.325	      1.663	      0.829	      0.002	      0.000	      0.349	      0.400	
       0.389	      1.744	      0.997	      0.002	      0.001	      0.380	      0.493	
       0.336	      1.830	      0.914	      0.002	      0.001	      0.347	      0.443	
       0.333	      1.844	      0.916	      0.002	      0.001	      0.347	      0.433	
       0.330	      1.833	      0.920	      0.002	      0.001	      0.343	      0.457	
       0.339	      1.849	      0.901	      0.002	      0.001	      0.341	      0.438	
       0.324	      1.862	      0.884	      0.002	      0.001	      0.339	      0.437	
       0.688	      1.782	      1.121	      0.002	      0.001	      0.363	      0.461	
       0.361	      1.753	      1.333	      0.003	      0.001	      0.381	      0.514	
       0.325	      1.731	      0.910	      0.002	      0.001	      0.343	      0.439	
       0.319	      1.844	      0.897	      0.002	      0.001	      0.342	      0.431	
       0.322	      1.817	      0.897	      0.002	      0.000	      0.339	      0.429	
       0.333	      1.903	      0.905	      0.002	      0.001	      0.346	      0.438	
       0.361	      1.986	      0.917	      0.002	      0.000	      0.364	      0.470	
       0.346	      1.761	      1.231	      0.003	      0.002	      0.359	      0.458	
